 time                  v(cmd)                v(actual)             v(output)            
1.000000000000000036e-10,1.024000000000000021e+00,4.024798251403660099e-01,9.928457891150139700e-03
1.000181568573639962e-10,1.024000000000000021e+00,4.024887514253869814e-01,9.930260565909549905e-03
1.001634117162739980e-10,1.024000000000000021e+00,4.025601517731829948e-01,9.944680519313979852e-03
1.013254505875590014e-10,1.024000000000000021e+00,4.031307156319389740e-01,1.005994737521699947e-02
1.106217615578340005e-10,1.024000000000000021e+00,4.076543505417190016e-01,1.097624433643260011e-02
1.555404291898490098e-10,1.024000000000000021e+00,4.284902499866620196e-01,1.526859484846010070e-02
2.180512639068860025e-10,1.024000000000000021e+00,4.546800789789610109e-01,2.092072268271349955e-02
2.922183662400089883e-10,1.024000000000000021e+00,4.815447928842029879e-01,2.724076873749639929e-02
3.806443956675250098e-10,1.024000000000000021e+00,5.076562269706490493e-01,3.436359893902259793e-02
4.849460617717839495e-10,1.024000000000000021e+00,5.302724698366100275e-01,4.235879529484989914e-02
6.061461077495049703e-10,1.024000000000000021e+00,5.455922709204239496e-01,5.130627172456479757e-02
7.432543741561399537e-10,1.024000000000000021e+00,5.490295362628290210e-01,6.123711886142110122e-02
8.923176321283060050e-10,1.024000000000000021e+00,5.366893032611209646e-01,7.210660467729000656e-02
1.005520046514100088e-09,1.024000000000000021e+00,5.171710108375200399e-01,8.061183128437360290e-02
1.062598211858759953e-09,1.024000000000000021e+00,5.049145670319219459e-01,8.503251645525329583e-02
1.119882575003119978e-09,1.024000000000000021e+00,4.922802264083410151e-01,8.957874283689649941e-02
1.174350270839899906e-09,1.024000000000000021e+00,4.803609450808600245e-01,9.400918009133049646e-02
1.280914509502520040e-09,1.024000000000000021e+00,4.573151406000440233e-01,1.029996083902919995e-01
1.393873118266970081e-09,1.024000000000000021e+00,4.333341195462609985e-01,1.130288891789059946e-01
1.485407976779120036e-09,1.024000000000000021e+00,4.141953098543940115e-01,1.215647552076860038e-01
1.561053884597659908e-09,1.024000000000000021e+00,3.985494318243850143e-01,1.289123215685260004e-01
1.584014058203429971e-09,1.024000000000000021e+00,3.938284666178150095e-01,1.311781052511939993e-01
1.593781644609900008e-09,1.024000000000000021e+00,3.918238527065630028e-01,1.321420019363850062e-01
1.600344220707229971e-09,1.024000000000000021e+00,3.904782438578640047e-01,1.327895663464220000e-01
1.603387412015980005e-09,1.024000000000000021e+00,3.899019150511450205e-01,1.330898398675859906e-01
1.610557666851359984e-09,1.024000000000000021e+00,3.888393164570129734e-01,1.337972971069729955e-01
1.618659600305450037e-09,1.024000000000000021e+00,3.880211426525079776e-01,1.345966179039309873e-01
1.627757519624059943e-09,1.024000000000000021e+00,3.874273487701320184e-01,1.354941235165620095e-01
1.638477294550330100e-09,1.024000000000000021e+00,3.870056296972009813e-01,1.365515196682710042e-01
1.651268598614889988e-09,1.024000000000000021e+00,3.867320958511260010e-01,1.378131026671700066e-01
1.667180882576579945e-09,1.024000000000000021e+00,3.865742343253589786e-01,1.393822770033940062e-01
1.687926545161809966e-09,1.024000000000000021e+00,3.865041052317240156e-01,1.414277153107419971e-01
1.717357151912880058e-09,1.024000000000000021e+00,3.864961475527859958e-01,1.443287260457569998e-01
1.765788277174209941e-09,1.024000000000000021e+00,3.865348030827560066e-01,1.491007829070760127e-01
1.879669909665739825e-09,1.024000000000000021e+00,3.866460347586530011e-01,1.603127627965720003e-01
2.566918036514899915e-09,1.024000000000000021e+00,3.873195819123850248e-01,2.277041039178059889e-01
7.146485637864109866e-09,1.024000000000000021e+00,3.919039100663539998e-01,6.651687028620459907e-01
1.008749771487729935e-08,1.024000000000000021e+00,3.949427154691280140e-01,9.357278710349700157e-01
1.131246572315950060e-08,1.024000000000000021e+00,3.962319787872780052e-01,1.046078866605610003e+00
1.571934369613599985e-08,1.024000000000000021e+00,4.009941943923119867e-01,1.431902756681989963e+00
1.973450497891049963e-08,1.024000000000000021e+00,4.055188601173669860e-01,1.765885313339170093e+00
2.264382121538860016e-08,1.024000000000000021e+00,4.089218523468630129e-01,1.996916177939979997e+00
2.692057705806220021e-08,1.024000000000000021e+00,4.141400267217790199e-01,2.320272804674010203e+00
3.201849113941510188e-08,1.024000000000000021e+00,4.207521394166789941e-01,2.681253305001769949e+00
3.736947805683089687e-08,1.024000000000000021e+00,4.282593137969479824e-01,3.032581758681769823e+00
4.256071198085010104e-08,1.024000000000000021e+00,4.362625798384139886e-01,3.347371649538230187e+00
4.858325296645370044e-08,1.024000000000000021e+00,4.466468136158019964e-01,3.681453340125719897e+00
5.168492845514719798e-08,1.024000000000000021e+00,4.528450287163700017e-01,3.840693389166879967e+00
5.339850947717260242e-08,1.024000000000000021e+00,4.572321076914560023e-01,3.924812860857560093e+00
5.490384151706719831e-08,1.024000000000000021e+00,4.628421460248079988e-01,3.996119207412359930e+00
5.636314735611259971e-08,1.024000000000000021e+00,4.716567936111670245e-01,4.062311977028929988e+00
5.775260660715849850e-08,1.024000000000000021e+00,4.849330490906589852e-01,4.121726486211139573e+00
5.911823305532699952e-08,1.024000000000000021e+00,5.031385768249070356e-01,4.175707823678079578e+00
6.067667719860319401e-08,1.024000000000000021e+00,5.287987908263650505e-01,4.231098271857409721e+00
6.223290560721859526e-08,1.024000000000000021e+00,5.574576846868469771e-01,4.279548830517890146e+00
6.387155533693549700e-08,1.024000000000000021e+00,5.891506035053319934e-01,4.323448316479259645e+00
6.596357670394769961e-08,1.024000000000000021e+00,6.304636988504640494e-01,4.369830422710060169e+00
6.905976382075680556e-08,1.024000000000000021e+00,6.921025053669189742e-01,4.421236398004920076e+00
7.011622441663829735e-08,1.024000000000000021e+00,7.131331252238860552e-01,4.434617197347109574e+00
7.143127980905359706e-08,1.024000000000000021e+00,7.385740598679789715e-01,4.448681515528789987e+00
7.314312560789110012e-08,1.024000000000000021e+00,7.694917947128619984e-01,4.463215556455110367e+00
7.557332000749169598e-08,1.024000000000000021e+00,8.085669289252019887e-01,4.477766747980280293e+00
7.965672294591699684e-08,1.024000000000000021e+00,8.624516913723619949e-01,4.490095363852679711e+00
8.434558912247920165e-08,1.024000000000000021e+00,9.093846094835710270e-01,4.491175217838219602e+00
8.955689261994490085e-08,1.024000000000000021e+00,9.473452493443890177e-01,4.481812460882239613e+00
9.532456920757979667e-08,1.024000000000000021e+00,9.767093466930260037e-01,4.463555626212279748e+00
1.019510656591780018e-07,1.024000000000000021e+00,9.989884567349339717e-01,4.436871365899420105e+00
1.095449006686380019e-07,1.024000000000000021e+00,1.014466354003499937e+00,4.402850843289719762e+00
1.184672757875040040e-07,1.024000000000000021e+00,1.024051756210520026e+00,4.361891148133140383e+00
1.290864614850349943e-07,1.024000000000000021e+00,1.028499531379289955e+00,4.315000051575999862e+00
1.420489605864100058e-07,1.024000000000000021e+00,1.028862072363039948e+00,4.263050767462670088e+00
