time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
6.864378656483553696e-08,5.483142654416110409e-11,-2.042624659203432772e-07,1.999999992079892319e+00,-5.406052618608495243e-05,3.333333302909856410e+00,-2.286273786671260810e-03,3.090721021443862869e-06,-2.293906967188738023e-03,6.626955132328900266e-02,9.986703072836990991e-01,1.666666651449928205e+00
8.350742567412816574e-08,6.668307259910741316e-11,-2.468784108867203589e-07,1.999999989111711285e+00,-9.450019749905059477e-05,3.333333298952282142e+00,-3.332335314354200727e-03,3.094973192286859319e-06,-3.339919805095911166e-03,8.002044068158949142e-02,9.979728117350673555e-01,1.666666649471140849e+00
1.017597140202019351e-07,8.122621284744069341e-11,-2.984364873685169099e-07,1.999999984847976808e+00,-1.666054606333444374e-04,3.333333293267302100e+00,-4.870554870399898019e-03,3.100194794039735105e-06,-4.878080356342102443e-03,9.661351867078078748e-02,9.969471491192088974e-01,1.666666646628651050e+00
1.243450153264884203e-07,9.920586192473487632e-11,-3.610755445753007911e-07,1.999999978630927711e+00,-2.964146202022631339e-04,3.333333284977903599e+00,-7.145729404781648274e-03,3.106655997050425762e-06,-7.153183054469508355e-03,1.167025428735483095e-01,9.954300897993885178e-01,1.666666642483951799e+00
1.525653920750611572e-07,1.216466690924655811e-10,-4.375829703731836635e-07,1.999999969407495914e+00,-5.330568756358008064e-04,3.333333272679995130e+00,-1.053778076680676745e-02,3.114729307250246269e-06,-1.054514644277637463e-02,1.411220411573661238e-01,9.931683031688265384e-01,1.666666636334997564e+00
1.882969614424153663e-07,1.500208930643244412e-10,-5.317280937111690495e-07,1.999999955428960474e+00,-9.719707270981731801e-04,3.333333254041948468e+00,-1.565248864298191683e-02,3.124951465522239177e-06,-1.565974569389152332e-02,1.709693408730546815e-01,9.897578570972084266e-01,1.666666627015974012e+00
2.344230361793683908e-07,1.865842107833964991e-10,-6.489188677278842995e-07,1.999999933632426785e+00,-1.806966167838756259e-03,3.333333224979903697e+00,-2.349787964927724584e-02,3.138147369651076809e-06,-2.350500087516503231e-02,2.077611973405946721e-01,9.845266020197332990e-01,1.666666612484951848e+00
2.958555110670746584e-07,2.351669152796310267e-10,-7.977538812101550181e-07,1.999999898172898360e+00,-3.461894766932741355e-03,3.333333177700533057e+00,-3.588065009743104244e-02,3.155722294470203554e-06,-3.588759776072619756e-02,2.537984564810605304e-01,9.762698370297089312e-01,1.666666588845266528e+00
3.827298115955420254e-07,3.036486790600318054e-10,-9.949865114271941723e-07,1.999999835917954938e+00,-7.009497636383963705e-03,3.333333094693943455e+00,-5.657269143339430789e-02,3.180575971458583068e-06,-5.657940704413369493e-02,3.133413688772221928e-01,9.624724732346358058e-01,1.666666547341971727e+00
5.130185569892845871e-07,4.058697843713962315e-10,-1.264271140724387484e-06,1.999999717546671940e+00,-1.527851279907629055e-02,3.333332936865568197e+00,-9.293342159442463668e-02,3.217850474942384985e-06,-9.293981594831950133e-02,3.911526619291292861e-01,9.382272634874755379e-01,1.666666468427784098e+00
6.803124742646357604e-07,5.362779164068519839e-10,-1.568964908733185053e-06,1.999999525963493507e+00,-3.134765098911380249e-02,3.333332681421333987e+00,-1.455827947984892345e-01,3.265712690229872038e-06,-1.455888180031430501e-01,4.726783949863858081e-01,9.031208083310058310e-01,1.666666340705666993e+00
8.911422838943560370e-07,6.992777575608988743e-10,-1.897369648383459699e-06,1.999999231240198183e+00,-5.994401220428542676e-02,3.333332288456945847e+00,-2.157751549754977349e-01,3.326031720273382720e-06,-2.157807662050648390e-01,5.498947689669878569e-01,8.563167091111472118e-01,1.666666144223473145e+00
1.005475036397981415e-06,7.870495193450174204e-10,-2.053480554149768011e-06,1.999999051206772238e+00,-7.887191737108856238e-02,3.333332048412382065e+00,-2.536806770624590590e-01,3.358743280788780802e-06,-2.536860868535705249e-01,5.815941460716556044e-01,8.310413899742931099e-01,1.666666024201191032e+00
1.213303610679042026e-06,9.454837008989452174e-10,-2.304113597834445378e-06,1.999998696275980370e+00,-1.181510566316363309e-01,3.333331575171333050e+00,-3.196248186430027949e-01,3.418205894301067421e-06,-3.196298952687993689e-01,6.240660122436159085e-01,7.870699762127092436e-01,1.666665787580666303e+00
1.494904451899352080e-06,1.157885423868329044e-09,-2.587779403067821035e-06,1.999998176754319124e+00,-1.780692804986111488e-01,3.333330882475795232e+00,-3.990827229133739884e-01,3.498778039830554689e-06,-3.990874035832698841e-01,6.570619677899521838e-01,7.340876166015001258e-01,1.666665441232897393e+00
1.834664956910374412e-06,1.410717319128987209e-09,-2.864849912562771528e-06,1.999997523412474498e+00,-2.539566979664322766e-01,3.333330011353349054e+00,-4.760661040426094059e-01,3.595994372609037738e-06,-4.760703712793158959e-01,6.710679081786730116e-01,6.827552828265942564e-01,1.666665005671674082e+00
2.275317310179169443e-06,1.733113433844627542e-09,-3.149336442654402322e-06,1.999996683301312084e+00,-3.472735826801275905e-01,3.333328891205148636e+00,-5.450815339673913407e-01,3.722084601051385097e-06,-5.450853384237667187e-01,6.657523997821228612e-01,6.658833068850406045e-01,1.666664445597574318e+00
2.849478966500295488e-06,2.144028047468334209e-09,-3.438564295311546517e-06,1.999995666855822085e+00,-4.465500668234745896e-01,3.333327535944515141e+00,-5.929207988147240371e-01,3.886386939786946040e-06,-5.929240797663289930e-01,6.444505976116117196e-01,6.445766599957445386e-01,1.666663767967257792e+00
3.485606923736671275e-06,2.587471183259523653e-09,-3.696371248046155016e-06,1.999994688518165198e+00,-5.211598528526004692e-01,3.333326231494325942e+00,-6.110656435349643978e-01,4.068433402736490616e-06,-6.110684054921841080e-01,6.219419134104976488e-01,6.220629633793418600e-01,1.666663115742162971e+00
4.240465656804069138e-06,3.098014215637459290e-09,-3.957517968844030822e-06,1.999993730338332609e+00,-5.694849633960376023e-01,3.333324953921234624e+00,-6.115542499440492774e-01,4.284473790583821926e-06,-6.115564398357893339e-01,6.059533801669524378e-01,6.060707369725263360e-01,1.666662476955617311e+00
5.092349878721037031e-06,3.654409106488091762e-09,-4.224237536558582588e-06,1.999992863032540535e+00,-5.917491396945038229e-01,3.333323797513529030e+00,-6.057758344905442849e-01,4.528302624559090562e-06,-6.057774064848222562e-01,5.993633587607279933e-01,5.994789191346656665e-01,1.666661898751764515e+00
6.173746062021177815e-06,4.331661385515617429e-09,-4.544979440510093893e-06,1.999991980313830631e+00,-5.989454591712123355e-01,3.333322620555267068e+00,-6.010322087362317545e-01,4.837852104856424625e-06,-6.010330143183766349e-01,5.986230169406207002e-01,5.994296346631432515e-01,1.666661310272633534e+00
8.036467171891848268e-06,5.426117782400428413e-09,-5.082986586603303154e-06,1.999990743626616441e+00,-5.997257250206973200e-01,3.333320971639005315e+00,-5.997380279900557110e-01,5.371127852586632934e-06,-5.997375282122399121e-01,5.998611571398195785e-01,6.002932854025746501e-01,1.666660485814502879e+00
1.000489062499999820e-05,6.490308152246426012e-09,-5.647208522676671018e-06,1.999989574002934090e+00,-5.998835484065201396e-01,3.333319412140785865e+00,-5.999757151583807735e-01,5.928783826699098090e-06,-5.999738422585132458e-01,6.000330975997197891e-01,6.001468132452255633e-01,1.666659706065392710e+00
1.003379726562500285e-05,6.513245522132627461e-09,-5.654812123135595240e-06,1.999989557206126589e+00,-5.998861962491174316e-01,3.333319389745043271e+00,-5.999772252310275888e-01,5.901746192617692451e-06,-5.999753441815740551e-01,6.000325822183848468e-01,6.001462876855467865e-01,1.666659694867521413e+00
1.061614227727956559e-05,6.979121502128533257e-09,-5.631648658000639201e-06,1.999989250287260267e+00,-5.999318099312832553e-01,3.333318980519893948e+00,-5.999968835796776201e-01,5.672377321798850641e-06,-5.999950146939158069e-01,6.000209936912201947e-01,6.001345127672270685e-01,1.666659490254946974e+00
1.150493332691320542e-05,7.690154297058890766e-09,-5.188973648431392941e-06,1.999989086047138986e+00,-5.999730293732710162e-01,3.333318761533068386e+00,-6.000029344414206101e-01,5.408369179656832409e-06,-6.000014914413928091e-01,6.000074932580394815e-01,6.001209112143516267e-01,1.666659380761534193e+00
1.292903152066671000e-05,8.829432780277180115e-09,-4.063068713512378292e-06,1.999989889563504653e+00,-5.999934539132314448e-01,3.333319832888207213e+00,-5.999977881336358010e-01,4.564532256376998478e-06,-5.999974441366157096e-01,6.000010749804024490e-01,6.001203135097246122e-01,1.666659916439103606e+00
1.496009853251884527e-05,1.045428628729452973e-08,-2.220221686484024311e-06,1.999992656241490696e+00,-5.999951533046602448e-01,3.333323521792133093e+00,-5.999948814165100286e-01,2.858354529590911929e-06,-5.999963418988516484e-01,6.000014590971486372e-01,6.001216628869986414e-01,1.666661760891066546e+00
1.865633326870165962e-05,1.341127388951648637e-08,1.228110355957082135e-06,1.999999260280349800e+00,-5.999947829320951831e-01,3.333332327177148002e+00,-5.999947393803990447e-01,2.163341590591289128e-06,-5.999995783716763897e-01,6.000009166848939701e-01,6.001206544807994314e-01,1.666666163583573779e+00
2.029141604525951892e-05,1.471934002805772997e-08,2.740462898427476505e-06,2.000002304279699494e+00,-5.999947237857710114e-01,3.333336385842887051e+00,-5.999948291624750407e-01,3.567343893788636809e-06,-6.000009811213433686e-01,6.000004886948093752e-01,6.001218378588414337e-01,1.666668192916443081e+00
2.165561044095743140e-05,1.581069547556370064e-08,3.668803459793412669e-06,2.000004682263923250e+00,-5.999952497278259189e-01,3.333339556488471356e+00,-5.999958382063146356e-01,4.256443325307902360e-06,-6.000021039540957002e-01,6.000000924946207181e-01,6.001228686546113966e-01,1.666669778239235677e+00
2.435045081072650960e-05,1.796656763484090612e-08,5.106227127007614997e-06,2.000008265519575001e+00,-5.999970377408067046e-01,3.333344334162602340e+00,-5.999976807190507966e-01,5.617695777816930930e-06,-6.000037748187406761e-01,5.999993629163828945e-01,6.001242893081397689e-01,1.666672167076301170e+00
2.999999999999999737e-05,2.248620669944980746e-08,7.964819084808158099e-06,2.000014148751998455e+00,-6.000003137899074801e-01,3.333352178472383187e+00,-6.000008716594970037e-01,8.471468778896918260e-06,-6.000064510418258168e-01,5.999984603757221313e-01,6.001269172159241494e-01,1.666676089231191593e+00
3.033330963259489577e-05,2.275285438858069412e-08,8.085671028071554674e-06,2.000014481908764186e+00,-6.000004534426419678e-01,3.333352622681397648e+00,-6.000007609836356393e-01,8.321779956283104055e-06,-6.000066056413103643e-01,5.999984113229239746e-01,6.001270680860221196e-01,1.666676311335698824e+00
3.120240482135630447e-05,2.344813049539340420e-08,8.092499691497253935e-06,2.000015204050149098e+00,-6.000006151347780925e-01,3.333353585536563468e+00,-6.000007448143892530e-01,8.054518670736313766e-06,-6.000069728805694780e-01,5.999982427148909947e-01,6.001273328120415584e-01,1.666676792763281512e+00
3.263464970660812027e-05,2.459392633072072668e-08,7.667601345919335023e-06,2.000015590011134936e+00,-6.000007582609786505e-01,3.333354100151203259e+00,-6.000008079825529528e-01,7.754773321281838307e-06,-6.000072317435781732e-01,5.999979046800287819e-01,6.001272263265288176e-01,1.666677050070601407e+00
3.481443279728791264e-05,2.633775269226038161e-08,6.749367587343351973e-06,2.000014630885217137e+00,-6.000005570697649615e-01,3.333352821316665437e+00,-6.000003272736057491e-01,6.972285573047772031e-06,-6.000067773031136920e-01,5.999976908599339298e-01,6.001264368719159137e-01,1.666676410653332718e+00
3.894451998020186621e-05,2.964182222795573139e-08,4.902425393766102294e-06,2.000011195105695805e+00,-5.999991410930244351e-01,3.333348240277372199e+00,-5.999987506264918835e-01,5.153963385802069652e-06,-6.000051432847740562e-01,5.999980483828435407e-01,6.001247325983424252e-01,1.666674120133685877e+00
4.449999999999999068e-05,3.408620595981535850e-08,2.427814378443452379e-06,2.000006239032036337e+00,-5.999973180273631135e-01,3.333341632179257719e+00,-5.999970278456375761e-01,2.676055387451087546e-06,-6.000028596948352444e-01,5.999987417230103759e-01,6.001224518523392559e-01,1.666670816084628859e+00
5.002900945818500653e-05,3.850941324300053114e-08,-2.356053295515830908e-08,2.000001334254477570e+00,-5.999957229082069077e-01,3.333335092475943728e+00,-5.999954799068817346e-01,4.578874940482479971e-07,-6.000006038899239336e-01,5.999994292705572718e-01,6.001201960892965648e-01,1.666667546232971864e+00
5.108992175307445317e-05,3.935814302445588271e-08,-3.590817287430039389e-07,2.000000434101969038e+00,-5.999960521803955338e-01,3.333333892272616783e+00,-5.999967303803396268e-01,5.917719415267060087e-07,-6.000001799431445848e-01,5.999995734164693673e-01,6.001198000650999065e-01,1.666666946131308391e+00
5.365408300231188358e-05,4.140947189211693597e-08,-7.810063440318894697e-07,1.999998962106742217e+00,-5.999985422305287308e-01,3.333331929612343369e+00,-5.999996784947361217e-01,9.153626037837794167e-07,-5.999994700944156767e-01,5.999999450777228072e-01,6.001200568406157565e-01,1.666665964801171684e+00
5.921536932359213655e-05,4.585850066289718938e-08,-1.490685720698232395e-06,1.999997345576810304e+00,-6.000054185035454957e-01,3.333329774239133236e+00,-6.000066888337387550e-01,1.617182867326434378e-06,-5.999987522653901229e-01,6.000002622954887510e-01,6.001202988819097639e-01,1.666664887114566396e+00
6.036216653029259638e-05,4.677593836913839591e-08,-1.608610408011663856e-06,1.999997057040003856e+00,-6.000067520085473616e-01,3.333329389523397079e+00,-6.000073679548258987e-01,1.648540145350143317e-06,-5.999986191178771078e-01,6.000003047429085523e-01,6.001203483485810786e-01,1.666664694756698317e+00
6.171829702689799889e-05,4.786084269647112380e-08,-1.393367234351233449e-06,1.999996914516584567e+00,-6.000065758620302114e-01,3.333329199492173878e+00,-6.000059460092380670e-01,1.514830127269567604e-06,-5.999985203382974808e-01,6.000003993566976890e-01,6.001204859768715094e-01,1.666664599741086938e+00
6.435386431694247865e-05,4.996929639243328676e-08,-5.888314413732217735e-07,1.999997791550378157e+00,-6.000042876680874437e-01,3.333330368870548455e+00,-6.000033700221446553e-01,8.389511702027938098e-07,-5.999989020759428637e-01,6.000005160295788231e-01,6.001204996664305513e-01,1.666665184430274005e+00
6.999999999999996676e-05,5.448620464680868645e-08,1.292900565557894202e-06,2.000001377459527330e+00,-5.999994021811270173e-01,3.333335150082676002e+00,-5.999985572759277686e-01,1.627448501367099149e-06,-6.000005838056652330e-01,6.000000983405193722e-01,6.001208912222298908e-01,1.666667575036337778e+00
7.035871013160679055e-05,5.477317273351251839e-08,1.456333373508194329e-06,2.000001620715496919e+00,-5.999991571898478648e-01,3.333335474423963607e+00,-5.999986065120552770e-01,2.020474909328871030e-06,-6.000006944051740065e-01,6.000000666836069474e-01,6.001210055416750233e-01,1.666667737206981803e+00
7.136493793845825439e-05,5.557815492685283819e-08,2.221158584198130023e-06,2.000002469961323470e+00,-5.999987729570425143e-01,3.333336606751715614e+00,-5.999984825695446888e-01,3.122964261237008136e-06,-6.000010489700623451e-01,6.000000208082774122e-01,6.001214693065126671e-01,1.666668303370857807e+00
7.311500129352739910e-05,5.697820552016524065e-08,3.977701698561515149e-06,2.000004889706044064e+00,-5.999983979208848295e-01,3.333339833077961778e+00,-5.999982728346857641e-01,5.040448752314201663e-06,-6.000020978052872378e-01,5.999999694229972702e-01,6.001228700479435130e-01,1.666669916533980889e+00
7.590378353578098388e-05,5.920923116921437436e-08,7.001163978727267965e-06,2.000010350374886059e+00,-5.999984607257934366e-01,3.333347113969642450e+00,-5.999985931100203507e-01,8.096021959434574280e-06,-6.000046480068931265e-01,5.999994598582391037e-01,6.001256374324541731e-01,1.666673556979821003e+00
8.000174541066324319e-05,6.248760045607323215e-08,1.148827765166406124e-05,2.000019232987086060e+00,-5.999991877261298123e-01,3.333358957452399629e+00,-5.999993820580140635e-01,1.258219433373044573e-05,-6.000087583225399701e-01,5.999982595089824455e-01,6.001297674483330180e-01,1.666679478721199592e+00
8.033901623380191844e-05,6.275741709703200617e-08,1.174509384422991154e-05,2.000019961615806086e+00,-5.999992563860838679e-01,3.333359928957345009e+00,-5.999994999927248385e-01,1.221278327809540375e-05,-6.000090972803391320e-01,5.999981525192199516e-01,6.001300976984343949e-01,1.666679964473672282e+00
8.104001059122883184e-05,6.331821254648356822e-08,1.176398799131252858e-05,2.000021260279585711e+00,-5.999995614933391064e-01,3.333361660509025270e+00,-6.000002114760610850e-01,1.172675266754587254e-05,-6.000097532643234866e-01,5.999978650454491635e-01,6.001305895127587720e-01,1.666680830249512413e+00
8.193870075479044472e-05,6.403716463053471964e-08,1.123880431686033715e-05,2.000022155345801966e+00,-6.000003456278567571e-01,3.333362853930629477e+00,-6.000013780622351911e-01,1.130576333488390472e-05,-6.000102992927350831e-01,5.999973880121208802e-01,6.001306495186767842e-01,1.666681426960314516e+00
8.313063724899377922e-05,6.499071376379870603e-08,1.015283714412396547e-05,2.000021918015763678e+00,-6.000015960655039615e-01,3.333362537490582866e+00,-6.000025797053604171e-01,1.057372346454916838e-05,-6.000102884736228104e-01,5.999968355404660114e-01,6.001299544985337908e-01,1.666681268740291211e+00
8.467455343339243951e-05,6.622584663083033926e-08,8.537201385390978149e-06,2.000019945547290678e+00,-6.000028141762971945e-01,3.333359907532658095e+00,-6.000034064758646979e-01,9.143956784064403274e-06,-6.000093357591871346e-01,5.999965822559926165e-01,6.001285174468377059e-01,1.666679953761328825e+00
8.696175093423602728e-05,6.805560451216437786e-08,6.050791628353460353e-06,2.000015534229802938e+00,-6.000037302303727893e-01,3.333354025776095408e+00,-6.000040043115351107e-01,6.723181597647061502e-06,-6.000072044546423955e-01,5.999969301486691720e-01,6.001262181098135917e-01,1.666677012883047704e+00
9.009040804064608467e-05,7.055853003384200277e-08,2.627119997931834734e-06,2.000008797814930350e+00,-6.000044255981287211e-01,3.333345043889732295e+00,-6.000045514732360585e-01,3.308735556242312403e-06,-6.000040729395041961e-01,5.999978220263721962e-01,6.001230675371209689e-01,1.666672521939865925e+00
9.233898719712559610e-05,7.235739324140780478e-08,3.411979260308802854e-07,2.000003999371960273e+00,-6.000035722358393331e-01,3.333338645965867819e+00,-6.000029368813566411e-01,9.674090954991562026e-07,-6.000018495358078185e-01,5.999985274232000343e-01,6.001208934468481582e-01,1.666669322977933687e+00
9.912914728533471823e-05,7.778952095605949742e-08,-6.268637254854511653e-06,1.999990606146016647e+00,-5.999989968340061486e-01,3.333320788331542328e+00,-5.999983281544313263e-01,7.241644583553787482e-06,-5.999956954372372975e-01,6.000004715704486680e-01,6.001207442059388608e-01,1.666660394160771164e+00
1.001841871181302098e-04,7.863355276689487294e-08,-7.269336852695361817e-06,1.999988556253539773e+00,-5.999983041568437425e-01,3.333318055141613723e+00,-5.999977620871467243e-01,7.983656359869993559e-06,-5.999947522064241756e-01,6.000007594575179626e-01,6.001210395190058611e-01,1.666659027565806861e+00
1.008204353278690358e-04,7.914255130126306535e-08,-7.511254901246022592e-06,1.999987406353770369e+00,-5.999980041841319611e-01,3.333316521941943833e+00,-5.999975402503728850e-01,7.623065098664104469e-06,-5.999941986647762127e-01,6.000009624540844078e-01,6.001213279650946530e-01,1.666658260965971916e+00
1.016945914816391451e-04,7.984187617834286120e-08,-7.410615345990631193e-06,1.999986272809570309e+00,-5.999975422622756405e-01,3.333315010549699586e+00,-5.999969543279997097e-01,7.451695570396427486e-06,-5.999935900217455709e-01,6.000013246075392992e-01,6.001217673614810399e-01,1.666657505269849793e+00
1.030344730261466437e-04,8.091378134350309988e-08,-6.859847953031240844e-06,1.999985744089449735e+00,-5.999967664866034944e-01,3.333314305589549331e+00,-5.999962568920653716e-01,7.088234839602933320e-06,-5.999932542702085536e-01,6.000018585046779096e-01,6.001221748664349320e-01,1.666657152789774665e+00
1.048615958158340188e-04,8.237547947912054564e-08,-5.886445043714718040e-06,1.999986661305343638e+00,-5.999961614246338559e-01,3.333315528544055883e+00,-5.999960008115374777e-01,6.267146268488425682e-06,-5.999937137505381157e-01,6.000021617206726665e-01,6.001221930174661656e-01,1.666657764267028385e+00
1.079007843603228063e-04,8.480683015462989295e-08,-4.175568783559449419e-06,1.999989704134891300e+00,-5.999961267496874973e-01,3.333319585650059924e+00,-5.999961958043575905e-01,4.598911577031325067e-06,-5.999951907318820110e-01,6.000019175979407482e-01,6.001217785724376474e-01,1.666659792820029740e+00
1.100930211929498247e-04,8.656061950512266946e-08,-2.932577857897952466e-06,1.999992154142558043e+00,-5.999963102711395324e-01,3.333322852326899621e+00,-5.999964239873148975e-01,3.359346813648151360e-06,-5.999963278879326678e-01,6.000015895451766834e-01,6.001214347299489438e-01,1.666661426158449810e+00
