time,state,q,residual,candidate,denominator,target,stagepeak
1.000000000000000021e-08,-1.179487228120015117e-11,3.957386252158144497e-08,1.281046390072516195e+00,-2.439749498679216581e-03,2.281046674850910616e+00,-2.464146993666253838e-01,3.997047177177272506e-06
7.345325989638827582e-08,-8.653403962476275314e-11,2.833120725857722116e-07,1.281046387459369162e+00,-1.743998895140138825e-02,2.281046672237760475e+00,-2.464144008412705589e-01,4.010849904179205458e-06
4.119086708879465247e-07,-4.817232624560472132e-10,1.364733179510445145e-06,1.281046376661209463e+00,-8.318761216909532907e-02,2.281046661439590117e+00,-2.464130296032506218e-01,4.084476184735426647e-06
9.405033485420477293e-07,-1.087407295512566931e-09,2.506947229679746685e-06,1.281046368763016474e+00,-1.502076909792178505e-01,2.281046653541389357e+00,-2.464114416502071747e-01,4.199476144654653186e-06
1.336905629741342768e-06,-1.532573579348172823e-09,3.075758850002209345e-06,1.281046368336880015e+00,-1.816954105621925164e-01,2.281046653115252010e+00,-2.464105427969406903e-01,4.285725649875741093e-06
2.244581297176483436e-06,-2.523468750175453060e-09,3.864934903674187534e-06,1.281046378033473321e+00,-2.203074297085513833e-01,2.281046662811855086e+00,-2.464090061011660060e-01,4.483246846607187536e-06
3.601311919457774587e-06,-3.933559485369019635e-09,4.457184470471740668e-06,1.281046401295421466e+00,-2.396935758533224881e-01,2.281046686073826990e+00,-2.464073032515021744e-01,4.778558874281128515e-06
6.063995665769109021e-06,-6.289954872319242962e-09,5.087360910623805527e-06,1.281046432706646199e+00,-2.458372296662721945e-01,2.281046717485083253e+00,-2.464046488450609140e-01,5.314800768998389005e-06
1.000099999999999962e-05,-9.570231307417641173e-09,5.953336563680950112e-06,1.281046459599738618e+00,-2.463907909100679916e-01,2.281046744378203428e+00,-2.464005301338343390e-01,6.172409402066929567e-06
1.020302226562503001e-05,-9.806721248657950130e-09,5.994510512757774276e-06,1.281046461001745129e+00,-2.463925773899622862e-01,2.281046745780210827e+00,-2.464005761938602990e-01,6.186256460643177943e-06
1.534646437737354513e-05,-1.587598318879140223e-08,6.468269181686309594e-06,1.281046603008707319e+00,-2.464019700972420179e-01,2.281046887787316901e+00,-2.464024051214876720e-01,6.538751213184675129e-06
2.004352553824739855e-05,-2.141851558452877367e-08,6.790000166999912408e-06,1.281047486168290783e+00,-2.464042023856075347e-01,2.281047770947795428e+00,-2.464047898765591715e-01,6.835902135447421301e-06
2.156191168457627442e-05,-2.321021131005697131e-08,6.258806783213643569e-06,1.281048057988498412e+00,-2.464057990799679021e-01,2.281048342768582593e+00,-2.464072593281604884e-01,6.700025741537708695e-06
2.507184310913128822e-05,-2.735193055914476213e-08,3.772981426944269668e-06,1.281049783432504752e+00,-2.464124340489883824e-01,2.281050068214337312e+00,-2.464145359498808030e-01,6.414750799391803465e-06
3.000215953650035532e-05,-3.316970417884838317e-08,5.092876967010469344e-08,1.281052210596921093e+00,-2.464229003848177058e-01,2.281052495381213241e+00,-2.464249874245512117e-01,6.286912439038781211e-06
3.078936935879588100e-05,-3.409861180666440739e-08,-2.250765165318695525e-07,1.281052525966713374e+00,-2.464241520579210365e-01,2.281052810751325044e+00,-2.464252759040199969e-01,6.284586241832736194e-06
3.266471751993127177e-05,-3.631152272606846422e-08,3.117235037824722446e-07,1.281053173550598334e+00,-2.464248462226134584e-01,2.281053458335865702e+00,-2.464246890908468879e-01,6.257584111525726759e-06
3.608195775830285807e-05,-4.034386636968375535e-08,2.120333455761249442e-06,1.281053976414506801e+00,-2.464231651098001685e-01,2.281054261200587963e+00,-2.464224994051320838e-01,6.221765550131762808e-06
4.001189456546932170e-05,-4.498119198832201556e-08,4.298557000430300038e-06,1.281054211207049320e+00,-2.464201970749580750e-01,2.281054495993368292e+00,-2.464193634517432008e-01,6.060438406748922191e-06
4.158642564588280253e-05,-4.683913873765035935e-08,4.702969179657405794e-06,1.281054029215494161e+00,-2.464196491176708637e-01,2.281054314001628391e+00,-2.464196603202009062e-01,5.827642141857948013e-06
4.592103016825969160e-05,-5.195397227853321983e-08,4.654891828424418247e-06,1.281052561507947996e+00,-2.464206593831725356e-01,2.281052846292595859e+00,-2.464208958345403544e-01,4.743122592403818044e-06
