time,state,q,residual,candidate,denominator,target,stagepeak
1.046030881468141051e-05,6.854478902918534068e-09,-5.666114771032835399e-06,1.999989322798486624e+00,-5.999805838143198455e-01,3.333319077201527314e+00,-5.999969269588866227e-01,5.706850256020445173e-06
1.087383414565491027e-05,7.185299146868157438e-09,-5.540547381416881209e-06,1.999989154521452983e+00,-5.999860954433267057e-01,3.333318852832152679e+00,-5.999967737363081088e-01,5.581258013473585738e-06
1.138629608486540544e-05,7.595268672418257190e-09,-5.265755687681847469e-06,1.999989078993856806e+00,-5.999903293879266242e-01,3.333318752128692886e+00,-5.999965363930552797e-01,5.452230412859372382e-06
1.205512015983669148e-05,8.130327898689809746e-09,-4.789219138994381525e-06,1.999989243929062521e+00,-5.999932750269204584e-01,3.333318972042297101e+00,-5.999962271746043241e-01,5.142990184546263092e-06
1.292904034003747063e-05,8.829463998792900153e-09,-4.063061182148786539e-06,1.999989889558242639e+00,-5.999948831539791971e-01,3.333319832881191491e+00,-5.999958951840853594e-01,4.564526935078339606e-06
1.396486908213985211e-05,9.658126940231070877e-09,-3.136397785451883672e-06,1.999991139831807319e+00,-5.999954291216870184e-01,3.333321499912585750e+00,-5.999956235208337985e-01,3.732072443121436051e-06
1.524024614743135577e-05,1.067842852810308809e-08,-1.960313572415236511e-06,1.999993118528555547e+00,-5.999954749403677567e-01,3.333324138174877049e+00,-5.999954190793735931e-01,2.605486954075340809e-06
1.700955448786288805e-05,1.209387511109635547e-08,-3.110276387583570759e-07,1.999996229829822170e+00,-5.999953353989331273e-01,3.333328286576504151e+00,-5.999952531452329429e-01,9.768174438654641428e-07
1.999999999999999825e-05,1.448623136961414137e-08,2.484510066928807605e-06,2.000001761639969455e+00,-5.999951256553885948e-01,3.333335662323257953e+00,-5.999950646592998593e-01,3.420140094397898858e-06
2.008932537726546534e-05,1.455769166690704948e-08,2.566375297660768465e-06,2.000001928276590402e+00,-5.999951224984274578e-01,3.333335884505415514e+00,-5.999951124917535239e-01,3.465261278657264135e-06
2.066700122687876754e-05,1.501983231736529639e-08,3.030849347424218054e-06,2.000002993207508961e+00,-5.999952012794992351e-01,3.333337304413285906e+00,-5.999954692139051193e-01,3.757064339002848060e-06
2.145831014146716521e-05,1.565287940898003738e-08,3.551240964748027850e-06,2.000004362788176504e+00,-5.999955160006091859e-01,3.333339130520815097e+00,-5.999960184344108605e-01,4.156780482771358902e-06
2.266430977117631242e-05,1.661767905167081690e-08,4.230400134791050038e-06,2.000006174782902324e+00,-5.999962180343269003e-01,3.333341546513747478e+00,-5.999968475182899663e-01,4.765970537990588875e-06
2.435044246531645662e-05,1.796658512153194787e-08,5.106222890788596297e-06,2.000008265510112349e+00,-5.999972848381658341e-01,3.333344334149985766e+00,-5.999979062983974432e-01,5.617691586443842924e-06
2.677306681320819408e-05,1.990468447695018432e-08,6.334675055428161951e-06,2.000010863294253927e+00,-5.999987293445353531e-01,3.333347797862122874e+00,-5.999993052683496586e-01,6.841438778325902812e-06
3.000155814890593503e-05,2.248747738151361654e-08,7.965603733772724766e-06,2.000014150328213169e+00,-6.000005528304395153e-01,3.333352180574002954e+00,-6.000011099568358652e-01,8.470769040884564759e-06
3.009816338107406300e-05,2.256476156233712403e-08,8.009954712761032430e-06,2.000014247937216272e+00,-6.000006021264201461e-01,3.333352310719338796e+00,-6.000010677559181049e-01,8.427383785712068339e-06
3.049881473573771900e-05,2.288528262569809308e-08,8.115667818867535390e-06,2.000014640323640958e+00,-6.000007332394809989e-01,3.333352833901230383e+00,-6.000009508408378212e-01,8.247451903481943045e-06
3.097713886526466318e-05,2.326794190499554884e-08,8.121207118417967608e-06,2.000015047003131485e+00,-6.000008010794632973e-01,3.333353376140543389e+00,-6.000008855543480513e-01,8.083231910879611410e-06
3.159023494496018900e-05,2.375841873756629785e-08,8.010521817948359740e-06,2.000015413776156770e+00,-6.000008281032355173e-01,3.333353865171236219e+00,-6.000008404842617216e-01,7.972524198244115119e-06
3.243547870323714897e-05,2.443461370117897494e-08,7.741959557942627699e-06,2.000015597688109992e+00,-6.000008102020429890e-01,3.333354110387170000e+00,-6.000007552962393076e-01,7.803649889566223891e-06
3.349165445883821242e-05,2.527955425189390916e-08,7.322107390431885662e-06,2.000015374539132473e+00,-6.000007029199941888e-01,3.333353812855204268e+00,-6.000005532023224841e-01,7.488159217490176608e-06
3.481443718610198609e-05,2.633778036632925596e-08,6.749365674564218721e-06,2.000014630882243516e+00,-6.000004294235502522e-01,3.333352821312701053e+00,-6.000001705176705169e-01,6.972283768699667556e-06
3.659205936627125559e-05,2.775987801985553349e-08,5.957550129530323277e-06,2.000013245569415066e+00,-5.999998815673587282e-01,3.333350974228956876e+00,-5.999995350151819951e-01,6.203588566993883491e-06
