time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
1.000000000000000021e-08,7.596697584424901500e-12,5.717442951796038825e-09,1.530901015054729530e+00,-2.808082824362219673e-07,2.606744012683645195e+00,-2.836163652606122799e-05,5.774743165058936916e-07,-3.984949300980998940e-05,-5.257443186188761122e-03,5.310133281800744065e-01,1.303372006341822598e+00
2.779450180520931723e-08,2.110941457998118879e-11,1.572966184209636350e-08,1.530901015530064191e+00,-1.773702180017853258e-06,2.606744013226884871e+00,-1.617871088481889405e-04,5.693693022085474838e-07,-1.732537745183126607e-04,-1.453004113112404266e-02,5.310133049288411344e-01,1.303372006613442657e+00
8.364969623856854383e-08,6.345666052545972849e-11,4.510718931913458410e-08,1.530901017294272304e+00,-3.799302202617995929e-05,2.606744015243123158e+00,-1.353310493991808977e-03,5.439283900689021702e-07,-1.364708526839357363e-03,-4.258658714658327543e-02,5.310132320622374946e-01,1.303372007621561579e+00
2.715848637749557496e-07,2.051890443638301274e-10,1.230041849010544983e-07,1.530901025764731971e+00,-1.112002717329481144e-03,2.606744024923648428e+00,-1.256197409375146325e-02,4.583269667981979585e-07,-1.257311962445238455e-02,-1.262650937126772455e-01,5.310129878348248678e-01,1.303372012461824214e+00
1.067281255536896292e-06,7.926002851472488618e-10,1.945043730564725690e-07,1.530901084257313194e+00,-3.791806730227811201e-02,2.606744091772311922e+00,-1.177177706677026842e-01,2.305992131462182593e-07,-1.177275838157397780e-01,-3.483363173079967456e-01,5.310119568428320891e-01,1.303372045886155961e+00
3.984113208557770510e-06,2.780183192182528198e-09,-7.965139151091453741e-07,1.530901089466926601e+00,-3.094179537208072706e-01,2.606744097726155562e+00,-3.695824601443068458e-01,1.232894407030495326e-06,-3.695861475778625116e-01,-5.210430105573309323e-01,5.310078731622384085e-01,1.303372048863077781e+00
1.003379726562500285e-05,6.187565539108891924e-09,-3.532979964845574407e-06,1.530898050104526398e+00,-4.062467987085568444e-01,2.606740624169152643e+00,-4.071409702066267067e-01,3.971288939637890557e-06,-4.071313885100520946e-01,-5.308693094875404084e-01,5.309963632262897359e-01,1.303370312084576321e+00
2.088335931195519580e-05,1.443323322955199766e-08,-2.869002440740981390e-06,1.530896016189589925e+00,-4.073213655944823430e-01,2.606738299694956851e+00,-4.073201412542365452e-01,3.154122709080630029e-06,-4.073168052786691473e-01,-5.308925149283687528e-01,5.309990145496531477e-01,1.303369149847478425e+00
3.172968700855985060e-05,2.267644281135655410e-08,6.588046716834013118e-06,1.530907219407878550e+00,-4.073163652926964362e-01,2.606751103372905831e+00,-4.073177045152278630e-01,7.087725924693354427e-06,-4.073319872219269833e-01,-5.309047004074283205e-01,5.310137796768363838e-01,1.303375551686452916e+00
4.207022711310083628e-05,3.053525379586458659e-08,8.791703096180476719e-06,1.530915445672805797e+00,-4.073355526039221242e-01,2.606760504818466995e+00,-4.073373813519784448e-01,9.686532171095602330e-06,-4.073450268019739862e-01,-5.309287445092768509e-01,5.310345685146727890e-01,1.303380252409233497e+00
5.079729934830018467e-05,3.716782911896688333e-08,-1.955513834485248397e-06,1.530904097214422999e+00,-4.073414434928142591e-01,2.606747535151840545e+00,-4.073401352130477937e-01,2.302011820170266582e-06,-4.073367189564047197e-01,-5.309098109660357334e-01,5.310131483513671480e-01,1.303373767575920272e+00
6.002276886819791856e-05,4.417918640078271926e-08,1.318767760818765681e-06,1.530901083863486001e+00,-4.073191511043439128e-01,2.606744091322223955e+00,-4.073173593684046856e-01,1.772206076815679565e-06,-4.073295258427097609e-01,-5.308980457790783980e-01,5.310041402386717069e-01,1.303372045661111978e+00
7.070446796225467320e-05,5.229727822704130951e-08,1.138061537177111751e-05,1.530913943139649236e+00,-4.073226965961433410e-01,2.606758787637729391e+00,-4.073229743749225418e-01,1.163496317459610115e-05,-4.073335767071336599e-01,-5.309074257877848257e-01,5.310158423273082517e-01,1.303379393818864695e+00
8.038666305105879989e-05,5.965574695888774420e-08,7.248931539158197291e-06,1.530914816999895400e+00,-4.073324228023351701e-01,2.606759786335146156e+00,-4.073332290135184275e-01,8.535168164797437646e-06,-4.073435722625953770e-01,-5.309245350318380074e-01,5.310310662474732046e-01,1.303379893167573078e+00
9.188369492429702208e-05,6.839349173116227127e-08,-2.093159058757230575e-06,1.530901321086195255e+00,-4.073313663229558568e-01,2.606744362433889073e+00,-4.073300508153068766e-01,2.251095406595252819e-06,-4.073326552132085498e-01,-5.309106816275631635e-01,5.310144954757127778e-01,1.303372181216944758e+00
1.044743409661493471e-04,7.796238332030513171e-08,-1.064681871964183043e-06,1.530898127793000052e+00,-4.073187160950811347e-01,2.606740712955978978e+00,-4.073202094893839664e-01,1.667524576430597373e-06,-4.073218005400558450e-01,-5.308960489903532531e-01,5.310027190509022388e-01,1.303370356477989711e+00
1.200553679715275719e-04,8.980396457858702029e-08,8.840549621435116593e-07,1.530902870561509754e+00,-4.073321931558473441e-01,2.606746133262806797e+00,-4.073322199756335693e-01,1.155137234076156657e-06,-4.073363100321034103e-01,-5.309087931018119377e-01,5.310154944543680200e-01,1.303373066631403621e+00
1.325138714085792298e-04,9.927242777381398093e-08,-2.080482082992979941e-06,1.530898253582686053e+00,-4.073289073929108883e-01,2.606740856715619170e+00,-4.073280087661818039e-01,2.109472774055139310e-06,-4.073298815120883209e-01,-5.309016896133444963e-01,5.310079034050333435e-01,1.303370428357809585e+00
1.462446659915596077e-04,1.097078322953847457e-07,7.480627221312498368e-07,1.530902419666069214e+00,-4.073324678014024203e-01,2.606745617953735827e+00,-4.073335065414743217e-01,9.454409118965619780e-07,-4.073342135901432681e-01,-5.309000989383697577e-01,5.310045746395317678e-01,1.303372808976868136e+00
1.616799494344349020e-04,1.214386484245962553e-07,4.854513657758519224e-07,1.530902638097917823e+00,-4.073245644383009512e-01,2.606745867590131827e+00,-4.073250710412943398e-01,1.055271753025014582e-06,-4.073233409831433227e-01,-5.308992919880788364e-01,5.310063293438088694e-01,1.303372933795066135e+00
