time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
1.000000000000000021e-08,7.596697584424901500e-12,5.717442951796038825e-09,1.530901015054729530e+00,-4.007659420511444365e-07,2.606744012683645195e+00,-4.047736014716959985e-05,5.774743165058936916e-07,-5.196521557892308854e-05,9.902399838842805210e-03,1.000164169002768499e+00,1.303372006341822598e+00
2.299855311924450699e-08,1.746851547908668479e-11,1.306287771689414324e-08,1.530901015397649667e+00,-1.544357426148725989e-06,2.606744013075554367e+00,-1.516402749157191550e-04,5.715537551036041155e-07,-1.631126813570453352e-04,2.269041917040360776e-02,1.000100662399295848e+00,1.303372006537777184e+00
5.800168094246604780e-08,4.402409720158531769e-11,3.199729649825973322e-08,1.530901016434628392e+00,-1.742999969836668602e-05,2.606744014260672149e+00,-8.707564769017618785e-04,5.556105554194186193e-07,-8.821863993911883885e-04,5.630393107224163085e-02,9.996897318263885390e-01,1.303372007130336296e+00
1.458916499565184054e-07,1.105251074800108719e-10,7.434278318006651203e-08,1.530901019702420207e+00,-2.479654693243708180e-04,2.606744017995291873e+00,-5.134970090089465387e-03,5.155783171451457638e-07,-5.146287928123706619e-03,1.355850269908258077e-01,9.972527420638368501e-01,1.303372008997645937e+00
4.317666717336772827e-07,3.250802331789454317e-10,1.670879082415089762e-07,1.530901035318827708e+00,-5.159357802203550815e-03,2.606744035842614604e+00,-3.714471274550380786e-02,3.853658380421889170e-07,-3.715561944755904622e-02,3.477055402483136270e-01,9.789584440271569266e-01,1.303372017921307302e+00
1.287038496458033502e-06,9.512835014139373812e-10,1.648106268054464609e-07,1.530901102845013018e+00,-7.265227222500997284e-02,2.606744113015397435e+00,-1.890631095102501547e-01,2.305560536742717073e-07,-1.890725015638398954e-01,6.824463322259407549e-01,8.921326123369976990e-01,1.303372056507698495e+00
3.622082486909341337e-06,2.546970024112021977e-09,-6.400362046596056790e-07,1.530901140117629122e+00,-3.277954858698620688e-01,2.606744155612672920e+00,-3.938239461569181254e-01,1.067955457791429125e-06,-3.938284225560916840e-01,7.859848099023929446e-01,7.751089271726190333e-01,1.303372077806336238e+00
9.999999999999999124e-06,6.163372623697089202e-09,-3.517888161986803928e-06,1.530898072855137793e+00,-4.073270758209532882e-01,2.606740650169851570e+00,-4.073499146515023872e-01,3.974187308188860517e-06,-4.073403323643800533e-01,7.672072282144447586e-01,7.673946568342716601e-01,1.303370325084925563e+00
1.639386374195032559e-05,1.102122001903268528e-08,-3.509807844277143590e-06,1.530895638078946908e+00,-4.073335410152336133e-01,2.606737867568511113e+00,-4.073322047335073970e-01,3.518977699035350278e-06,-4.073255939280995830e-01,7.672465712425812212e-01,7.674000938294784913e-01,1.303368933784255557e+00
2.483142956746382441e-05,1.743377046167272241e-08,5.342994796817007213e-07,1.530898145133251953e+00,-4.073226807041915865e-01,2.606740732773409785e+00,-4.073219096420938046e-01,1.478443135049820770e-06,-4.073262794958431576e-01,7.672458139544505729e-01,7.673987142797890071e-01,1.303370366386704893e+00
