time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden
1.000000000000000021e-08,-1.179487228120015117e-11,3.957386252158148468e-08,1.281046390072516195e+00,-1.986068964920890776e-07,2.281046674850910616e+00,-2.005929654570298061e-05,3.997047177177276741e-06,-2.418073847473657732e-05,-2.783172801095648574e-03,2.811065758908228851e-01,1.140523337425601191e+00
2.638335567652710367e-08,-3.111195027061250992e-11,1.039098485590001081e-07,1.281046389378832195e+00,-1.018473380284675352e-06,2.281046674157225507e+00,-9.167491072614657286e-05,4.000610961491728593e-06,-9.587430918113507775e-05,-7.305788170414757518e-03,2.811065720495591891e-01,1.140523337078758637e+00
7.386670138679625494e-08,-8.702033901334000211e-11,2.848501397454163511e-07,1.281046387443006251e+00,-1.624777648769247531e-05,2.281046672221398008e+00,-6.464414427740729262e-04,4.010939839086126515e-06,-6.508612255605743160e-04,-2.000255406113165754e-02,2.811065609912202778e-01,1.140523336110844888e+00
2.134283341825435057e-07,-2.506780112478202381e-10,7.722132999689986576e-07,1.281046382374463111e+00,-3.417408521869548369e-04,2.281046667152849761e+00,-4.878914268938750430e-03,4.041298834624058686e-06,-4.883937108377793372e-03,-5.401252523634638564e-02,2.811065291101698671e-01,1.140523333576570764e+00
8.571166930048644137e-07,-9.927818931540668703e-10,2.360496299558947634e-06,1.281046369390482553e+00,-1.379821315611525975e-02,2.281046654168855881e+00,-5.221569854490583362e-02,4.181333794704423594e-06,-5.222284071295602015e-02,-1.617916250386429722e-01,2.811063924630121669e-01,1.140523327084573824e+00
2.418719497463840877e-06,-2.709141958348677897e-09,3.966683548796923008e-06,1.281046380836772469e+00,-1.072434411189924636e-01,2.281046665615157565e+00,-1.714303587891893299e-01,4.521145855476095840e-06,-1.714403950711397007e-01,-2.560423393456747743e-01,2.811061039075319345e-01,1.140523332807724444e+00
7.965012104144525678e-06,-7.943975552519082118e-09,5.508712508057408013e-06,1.281046447028513002e+00,-2.429425880261447401e-01,2.281046731806964711e+00,-2.456485722106238334e-01,5.728906297604672025e-06,-2.456647569169283785e-01,-2.809523580244021601e-01,2.811051045969116813e-01,1.140523365903628461e+00
1.881744357398869668e-05,-1.997171218791943348e-08,6.706746208383455628e-06,1.281047131755884694e+00,-2.464047307560423006e-01,2.281047416535030514e+00,-2.464042868002308262e-01,6.776627340368229064e-06,-2.464196017425773766e-01,-2.810500009377702724e-01,2.811065333912318165e-01,1.140523708267661140e+00
2.850854698138615125e-05,-3.140721467269772453e-08,1.179903941608131883e-06,1.281051545688232762e+00,-2.464254016547287318e-01,2.281051830471851005e+00,-2.464288119128469345e-01,6.351173901677744462e-06,-2.464296976499431580e-01,-2.810543957390859160e-01,2.811111040172158959e-01,1.140525915236071608e+00
3.500784086625816576e-05,-3.907638176619786439e-08,1.529902818527853370e-06,1.281053777035678687e+00,-2.464329235782857785e-01,2.281054061821558232e+00,-2.464320818596473228e-01,6.217472873277372308e-06,-2.464333084607008839e-01,-2.810578881361111558e-01,2.811146009306070837e-01,1.140527030910924999e+00
4.513894229079774476e-05,-5.103108192639136962e-08,4.683303657652856302e-06,1.281052922403721039e+00,-2.464288073650770516e-01,2.281053207188734611e+00,-2.464293280627383731e-01,4.757074360494263107e-06,-2.464324209693249945e-01,-2.810579338322040654e-01,2.811134826832027422e-01,1.140526603594513189e+00
5.377254048793909925e-05,-6.121872820455201777e-08,1.151013868848860828e-06,1.281049071188389732e+00,-2.464293619110604627e-01,2.281049355969500869e+00,-2.464288408471853598e-01,4.474906184854234965e-06,-2.464272437020468554e-01,-2.810519696922924027e-01,2.811077898191604030e-01,1.140524677984896318e+00
