time,state,q,residual,candidate,denominator,target,stagepeak
1.278756855201373509e-04,9.322778190989267088e-08,4.029921095183868114e-06,1.917006721394184376e+00,-5.690871927424071552e-01,3.222675610310768768e+00,-5.690860788523716129e-01,4.361820787423764251e-06
1.342393963523926925e-04,9.793692759578736983e-08,5.989902720256834520e-06,1.917010603783705358e+00,-5.690869890196793568e-01,3.222680786830053101e+00,-5.690879630380810683e-01,6.277538055513248723e-06
1.405302194054814519e-04,1.025921363279922934e-07,7.747887147400775370e-06,1.917014064691567654e+00,-5.690931206780107665e-01,3.222685401373800662e+00,-5.690937939742714002e-01,7.892661778891856971e-06
1.440661855772768657e-04,1.052087511108875541e-07,7.732030767634254196e-06,1.917014909616539864e+00,-5.690944945136092725e-01,3.222686527940413548e+00,-5.690947564739888831e-01,7.783489483324003828e-06
1.500688472330179277e-04,1.096507204227442149e-07,7.373406431770324510e-06,1.917014381863382244e+00,-5.690957187398805184e-01,3.222685824269547528e+00,-5.690958742306256868e-01,7.445587537619654915e-06
1.516666044610733791e-04,1.108330606879526587e-07,6.681020778706831898e-06,1.917013925536717567e+00,-5.690958155028109644e-01,3.222685215834003802e+00,-5.690958622587506399e-01,6.983215358824869829e-06
1.553341869200060039e-04,1.135470715155575986e-07,4.025529664922901550e-06,1.917010065459498147e+00,-5.690957315593709875e-01,3.222680069064454145e+00,-5.690956154174940940e-01,4.547782941675634723e-06
1.600606252348094917e-04,1.170446356206325677e-07,4.429035425740489054e-07,1.917003319974614817e+00,-5.690949363520626525e-01,3.222671075084743819e+00,-5.690947168356570440e-01,9.771729973429239624e-07
1.613707025727704775e-04,1.180140927819275498e-07,2.916468218888093038e-08,1.917001630748104368e+00,-5.690942451777035727e-01,3.222668822782763343e+00,-5.690934616430227688e-01,3.171811245855703270e-07
1.641178358615823154e-04,1.200469712712649386e-07,2.844159741070796376e-07,1.917000454466887494e+00,-5.690917298728708218e-01,3.222667254407831194e+00,-5.690908309896708372e-01,4.429959210005624395e-07
1.700106118613200535e-04,1.244076252007937668e-07,1.292003141027948210e-06,1.917001978350463265e+00,-5.690871087370712456e-01,3.222669286252568543e+00,-5.690863871262973328e-01,1.466950243476061234e-06
