mode,m,raw_volts,corrected_volts,raw_error,corrected_error,ref_ppm,ratio_ppm,amp_shift_volts,port_peak,sample_us,case
AD,1.0,4.115099051467666,4.095999999998514,0.004662854362223134,-3.6282088444750116e-13,0.0,0.0,0.0,0.819198380757953,645.0,
AD,1.1,4.247881048711098,4.228238638958387,0.004650112532191386,4.5612697678887315e-06,0.0,0.0,0.0,0.819198380757953,645.0,
AD,1.35,4.54785737816148,4.526987432602006,0.00462110880880906,1.0940523976987748e-05,0.0,0.0,0.0,0.819198380757953,645.0,
AD,1.6,4.812716934539568,4.7907631545496905,0.004593529812777053,1.095709288878588e-05,0.0,0.0,0.0,0.819198380757952,645.0,
AD,1.9,5.09628511014653,5.073170937704662,0.004560046922211125,3.870481740442244e-06,0.0,0.0,0.0,0.819198380757952,645.0,
AD,2.0,5.184110182817912,5.160636620367926,0.004548578823756033,-2.856603842360528e-13,0.0,0.0,0.0,0.8192,645.0,
AD,1.1,4.247317091147488,4.227676989156572,0.0045167330841211495,-0.00012827237837953476,-200,0.0,0.0,0.819034541085801,645.0,ref_minus
AD,1.9,5.095608342828115,5.072496939773943,0.004426645161036413,-0.0001289853884227643,-200,0.0,0.0,0.819034541085801,645.0,ref_minus
AD,1.1,4.248444968814827,4.228800251453602,0.0047834831207680395,0.00013738609467384144,200,0.0,0.0,0.819362220430103,645.0,ref_plus
AD,1.9,5.096961832434075,5.073844890788752,0.004693439807074595,0.00013671751190935666,200,0.0,0.0,0.819362220430103,645.0,ref_plus
AD,1.1,4.247881048711077,4.227815808040619,0.004650112532186501,-9.544085464341379e-05,0.0,-100,0.0,0.819198380757953,645.0,ratio_minus
AD,1.9,5.0962851101465105,5.072663613642364,0.00456004692220735,-9.61312789169444e-05,0.0,-100,0.0,0.819198380757952,645.0,ratio_minus
AD,1.1,4.247881048711118,4.228661469876072,0.004650112532196049,0.00010456339415965132,0.0,100,0.0,0.819198380757953,645.0,ratio_plus
AD,1.9,5.09628511014656,5.073678261766842,0.00456004692221712,0.00010387224237473625,0.0,100,0.0,0.819198380757952,645.0,ratio_plus
AD,1.1,4.247881049960908,4.228238493528507,0.004650112827779163,4.526874702870387e-06,0.0,0.0,2.5e-05,0.819198380757953,645.0,amp_shift
AD,1.9,5.09628511139634,5.073170792274781,0.004560047168568948,3.841815163774243e-06,0.0,0.0,2.5e-05,0.819198380757952,645.0,amp_shift
Halley,1.0,4.111355426569134,4.096000000000145,0.003748883439730122,3.530509218307998e-14,0.0,0.0,0.0,0.685066716557674,645.0,
Halley,1.1,4.243547589524629,4.228161808806237,0.003625222661355343,-1.3609535892245006e-05,0.0,0.0,0.0,0.707163691439036,645.0,
Halley,1.35,4.542276383638248,4.526822008396198,0.0033882678377816777,-2.560166176979184e-05,0.0,0.0,0.0,0.756889339567971,645.0,
Halley,1.6,4.8061247523809625,4.790609791907321,0.0032174955198902566,-2.1055410720838275e-05,0.0,0.0,0.0,0.800874252566177,645.0,
Halley,1.9,5.088700120860621,5.073120275035511,0.0030649231156982815,-6.115948021467865e-06,0.0,0.0,0.0,0.847985470834777,645.0,
Halley,2.0,5.176236566435765,5.160636620369546,0.0030228724116692085,2.8199664825478976e-14,0.0,0.0,0.0,0.862580641577433,645.0,
Halley,1.1,4.242982584687806,4.227596933706617,0.0034915955267003085,-0.00014720598689732523,-200,0.0,0.0,0.707069568582131,645.0,ref_minus
Halley,1.9,5.088022443430032,5.072442753214172,0.0029313419567251753,-0.00013966643389995426,-200,0.0,0.0,0.847872520044937,645.0,ref_minus
Halley,1.1,4.2441125567041365,4.2287266462571775,0.003758840889822812,0.00011997801096752525,200,0.0,0.0,0.707257807614813,645.0,ref_plus
Halley,1.9,5.089377753120723,5.073797751696743,0.0031984953708392716,0.0001274256360710435,200,0.0,0.0,0.848098414101579,645.0,ref_plus
Halley,1.1,4.243547589524608,4.227738985571441,0.003625222661350458,-0.0001136098432332755,0.0,-100,0.0,0.707163691439035,645.0,ratio_minus
Halley,1.9,5.088700120860593,5.072612956039396,0.0030649231156927303,-0.00010611671005233969,0.0,-100,0.0,0.847985470834777,645.0,ratio_minus
Halley,1.1,4.243547589524656,4.228584632040952,0.003625222661361782,8.63907714294676e-05,0.0,100,0.0,0.707163691439036,645.0,ratio_plus
Halley,1.9,5.0887001208606435,5.073627594031518,0.0030649231157027224,9.38848139881987e-05,0.0,100,0.0,0.847985470834777,645.0,ratio_plus
Halley,1.1,4.243547590774438,4.228161565853897,0.0036252229569428973,-1.3666995621663958e-05,0.0,0.0,2.5e-05,0.707163691438491,645.0,amp_shift
Halley,1.9,5.088700122110431,5.073120032083163,0.0030649233620561045,-6.163837850348131e-06,0.0,0.0,2.5e-05,0.847985470834777,645.0,amp_shift
