time,state,candidate,raw,geometry,next,num,den,ca,cb,port_ratio,corrected,negative
3.139828317319979674e-08,7.660498457314029704e-04,7.660501556372489645e-04,4.157141329537429836e-04,4.157141329537429836e-04,1.341641698623530091e-03,1.569898459649929912e-01,1.569914158634529988e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.883878151579919946e-01,-3.672098545486360017e-03,8.827406500488610072e-03
3.845980102985639703e-08,1.148145684608480087e-03,1.148146063103469994e-03,5.456458410336479823e-04,5.456458410336479823e-04,1.588538678640980016e-03,1.922970821746640135e-01,1.922990051454850080e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.307564986095959891e-01,-4.813164924077460369e-03,9.827701916580909580e-03
4.315258888523229721e-08,1.444529897897920030e-03,1.444530321751600049e-03,6.452849812162250081e-04,6.452849812162250081e-04,1.743922797347750072e-03,2.157607868135270057e-01,2.157629444213960135e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.589129441762330064e-01,-5.545815409685020229e-03,1.036452189938730055e-02
4.713008937663559989e-08,1.722240399594780107e-03,1.722240861754790022e-03,7.392106528077680393e-04,7.392106528077680393e-04,1.870953331773519968e-03,2.356480903966010065e-01,2.356504468775049987e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.827777084759209858e-01,-6.141565897843409734e-03,1.075043030246369997e-02
5.395534310867160328e-08,2.255350541178109854e-03,2.255351068775279799e-03,9.229515007678400435e-04,9.229515007678400435e-04,2.080827609355589795e-03,2.697740177957639873e-01,2.697767155359420133e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.237288213549169846e-01,-7.097118885253370091e-03,1.128398778868239943e-02
6.472985894249390352e-08,3.242092171594449825e-03,3.242092801737669980e-03,1.278518852242860023e-03,1.278518852242860023e-03,2.399028844031190089e-03,3.236460582412479803e-01,3.236492947018300148e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.883752698894969990e-01,-8.408533856141089599e-03,1.184854034981129914e-02
8.025582657901710307e-08,4.975485632117080011e-03,4.975486408417850205e-03,1.953783749046590114e-03,1.953783749046590114e-03,2.860272898552710177e-03,4.012751201275789881e-01,4.012791328787809753e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01,-9.846459213156709411e-03,1.219059752822260027e-02
8.844127424819040001e-08,6.036889410246440262e-03,6.036890262844690075e-03,2.396529327917239910e-03,2.396529327917239910e-03,3.117394155110969969e-03,4.422019492016819875e-01,4.422063712211740105e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01,-1.039379353733490066e-02,1.218927679535370019e-02
9.837876441933849807e-08,7.461911586252070218e-03,7.461912530781600328e-03,3.021864189659230135e-03,3.021864189659230135e-03,3.447528661876489865e-03,4.918889031832159864e-01,4.918938220722480215e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01,-1.087448231369209962e-02,1.204434413449789916e-02
1.034766983087599971e-07,8.251025073233770116e-03,8.251026064628460416e-03,3.382069253064909874e-03,3.382069253064909874e-03,3.626996099463950050e-03,5.173783177335939953e-01,5.173834915167719872e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01,-1.104695441209039945e-02,1.191385181527590022e-02
1.202786555233590070e-07,1.112846202762839999e-02,1.112846317208279930e-02,4.768869333719970294e-03,4.768869333719970294e-03,4.283261948907880236e-03,6.013872637076860261e-01,6.013932775803230157e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01,-1.128942333153160060e-02,1.123633276162559931e-02
1.435211740447300111e-07,1.580656266233939830e-02,1.580656401502019900e-02,7.225270902232039730e-03,7.225270902232039730e-03,5.408535998508400000e-03,7.175986941848520040e-01,7.176058701717940025e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01,-1.087958244788999988e-02,9.707650054537619172e-03
1.684894643390030034e-07,2.171170880146409965e-02,2.171171037337929835e-02,1.060694281626570028e-02,1.060694281626570028e-02,6.989552109423809861e-03,8.424388972346490423e-01,8.424473216236210149e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01,-9.578999479911160658e-03,7.319812612904270065e-03
1.966473135850909972e-07,2.874931865261520086e-02,2.874932046635100130e-02,1.529844046237060010e-02,1.529844046237060010e-02,9.341782828116259457e-03,9.832267355609319859e-01,9.832365678282880550e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01,-7.121980514080459602e-03,3.707978389567940201e-03
2.172894449205239911e-07,3.390983166255549797e-02,3.390983364999009680e-02,1.919373069403049886e-02,1.919373069403049886e-02,1.148364647288980037e-02,1.086436360120440092e+00,1.086447224484039964e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01,-4.693150157841799626e-03,4.946561852133890070e-04
2.333297678363120123e-07,3.791990404803109727e-02,3.791990616838890327e-02,2.242362489399130077e-02,2.242362489399130077e-02,1.339156184596770015e-02,1.166637172673139933e+00,1.166648839044869934e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01,-2.469047132770799818e-03,-2.284201258987629980e-03
2.518540785673050197e-07,4.255097211407599805e-02,4.255097438574290125e-02,2.632808436770640165e-02,2.632808436770640165e-02,1.584924014392780078e-02,1.259257800099319979e+00,1.259270392677320105e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01,4.274117915999989747e-04,-5.750425623060280433e-03
2.740346119595149755e-07,4.809609394899559687e-02,4.809609639878460047e-02,3.119781732951639949e-02,3.119781732951639949e-02,1.912733599005289956e-02,1.370159358015569984e+00,1.370173059609149924e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01,4.297265442319220079e-03,-1.019867840675199935e-02
