run,time_s,q
0,5e-09,0.0
0,1e-08,0.0
0,2e-08,0.0
0,4e-08,0.0
0,8e-08,0.0
0,1.6e-07,0.0
0,3.2e-07,0.0
0,5e-07,0.0
0,5.319999999999999e-07,0.0
0,5.96e-07,0.0
0,7.24e-07,0.0
0,9.8e-07,0.0
0,1.4799999999999998e-06,0.0
0,1.9799999999999997e-06,0.0
0,2.4799999999999995e-06,0.0
0,2.9799999999999994e-06,0.0
0,3.4799999999999993e-06,0.0
0,3.979999999999999e-06,0.0
0,4.4799999999999995e-06,0.0
0,4.98e-06,0.0
0,5.48e-06,0.0
0,5.98e-06,0.0
0,6.480000000000001e-06,0.0
0,6.980000000000001e-06,0.0
0,7.480000000000001e-06,0.0
0,7.980000000000002e-06,0.0
0,8.480000000000002e-06,0.0
0,8.980000000000002e-06,0.0
0,9.480000000000002e-06,0.0
0,9.980000000000003e-06,0.0
0,1.0480000000000003e-05,0.0
0,1.0980000000000003e-05,0.0
0,1.1480000000000004e-05,0.0
0,1.1980000000000004e-05,0.0
0,1.2480000000000004e-05,0.0
0,1.2980000000000004e-05,0.0
0,1.3480000000000005e-05,0.0
0,1.3980000000000005e-05,0.0
0,1.4480000000000005e-05,0.0
0,1.4980000000000006e-05,0.0
0,1.5480000000000004e-05,0.0
0,1.5980000000000003e-05,0.0
0,1.648e-05,0.0
0,1.698e-05,0.0
0,1.748e-05,0.0
0,1.7979999999999997e-05,0.0
0,1.8479999999999996e-05,0.0
0,1.8979999999999994e-05,0.0
0,1.9479999999999993e-05,0.0
0,1.997999999999999e-05,0.0
0,2.047999999999999e-05,0.0
0,2.097999999999999e-05,0.0
0,2.1479999999999987e-05,0.0
0,2.1979999999999986e-05,0.0
0,2.2479999999999985e-05,0.0
0,2.2979999999999983e-05,0.0
0,2.3479999999999982e-05,0.0
0,2.397999999999998e-05,0.0
0,2.447999999999998e-05,0.0
0,2.4979999999999978e-05,0.0
0,2.5479999999999976e-05,0.0
0,2.5979999999999975e-05,0.0
0,2.6479999999999973e-05,0.0
0,2.6979999999999972e-05,0.0
0,2.747999999999997e-05,0.0
0,2.797999999999997e-05,0.0
0,2.8479999999999968e-05,0.0
0,2.8979999999999966e-05,0.0
0,2.9479999999999965e-05,0.0
0,2.9979999999999964e-05,0.0
0,3.0479999999999962e-05,0.0
0,3.0979999999999964e-05,0.0
0,3.147999999999996e-05,0.0
0,3.197999999999996e-05,0.0
0,3.247999999999996e-05,0.0
0,3.297999999999996e-05,0.0
0,3.347999999999996e-05,0.0
0,3.3979999999999956e-05,0.0
0,3.4479999999999954e-05,0.0
0,3.497999999999995e-05,0.0
0,3.547999999999995e-05,0.0
0,3.597999999999995e-05,0.0
0,3.647999999999995e-05,0.0
0,3.697999999999995e-05,0.0
0,3.7479999999999946e-05,0.0
0,3.7979999999999945e-05,0.0
0,3.847999999999994e-05,0.0
0,3.897999999999994e-05,0.0
0,3.947999999999994e-05,0.0
0,3.997999999999994e-05,0.0
0,4.047999999999994e-05,0.0
0,4.1479999999999935e-05,0.0
0,4.1979999999999933e-05,0.0
0,4.247999999999993e-05,0.0
0,4.297999999999993e-05,0.0
0,4.347999999999993e-05,0.0
0,4.397999999999993e-05,0.0
0,4.4479999999999926e-05,0.0
0,4.4979999999999925e-05,0.0
0,4.5479999999999924e-05,0.0
0,4.597999999999992e-05,0.0
0,4.647999999999992e-05,0.0
0,4.697999999999992e-05,0.0
0,4.747999999999992e-05,0.0
0,4.797999999999992e-05,0.0
0,4.8479999999999915e-05,0.0
0,4.8979999999999914e-05,0.0
0,4.947999999999991e-05,0.0
0,4.997999999999991e-05,0.0
0,5.047999999999991e-05,0.0
0,5.097999999999991e-05,0.0
0,5.147999999999991e-05,0.0
0,5.1979999999999906e-05,0.0
