p,X,group,profile,Y,stages,relative_error,valid
4,5e-324,grid,ideal,1.265625,2,2.6652505642831453e-17,True
4,5e-324,grid,untrimmed,1.265625,2,2.3548105200767892e-05,True
4,5e-324,grid,trim_target,1.265625,2,8.268390639642599e-07,True
4,2.2250738585072014e-308,grid,ideal,1.265625,2,2.6652505642831453e-17,True
4,2.2250738585072014e-308,grid,untrimmed,1.265625,2,2.353975686030641e-05,True
4,2.2250738585072014e-308,grid,trim_target,1.265625,2,8.268321899253363e-07,True
4,1e-300,grid,ideal,1.6349923815708425,2,4.991224092230217e-18,True
4,1e-300,grid,untrimmed,1.6349923815708425,2,4.9750217567347184e-05,True
4,1e-300,grid,trim_target,1.6349923815708425,2,1.4298926582131083e-06,True
4,1e-100,grid,ideal,1.401421094267709,2,6.371823095065072e-17,True
4,1e-100,grid,untrimmed,1.401421094267709,2,3.158612976080783e-05,True
4,1e-100,grid,trim_target,1.401421094267709,2,1.0173272089974211e-06,True
4,0.001,grid,ideal,1.2959999999999998,2,3.616721819713837e-17,True
4,0.001,grid,untrimmed,1.2959999999999998,2,2.5166792560214553e-05,True
4,0.001,grid,trim_target,1.2959999999999998,2,8.658316139712042e-07,True
4,0.125,grid,ideal,2,2,1.574447725916868e-17,True
4,0.125,grid,untrimmed,2,2,8.630642683354359e-05,True
4,0.125,grid,trim_target,2,2,2.238574793320425e-06,True
4,0.5,grid,ideal,1.220703125,2,8.818336483503925e-18,True
4,0.5,grid,untrimmed,1.220703125,2,2.1363728827707067e-05,True
4,0.5,grid,trim_target,1.220703125,2,7.73318048383021e-07,True
4,0.9999999999999999,grid,ideal,1.6018066406249998,2,4.1633363423443364e-17,True
4,0.9999999999999999,grid,untrimmed,1.6018066406249998,2,4.6846638324479745e-05,True
4,0.9999999999999999,grid,trim_target,1.6018066406249998,2,1.365543337073308e-06,True
4,1,grid,ideal,1,2,0.0,True
4,1,grid,untrimmed,1,2,1.4844141723578559e-05,True
4,1,grid,trim_target,1,2,5.937506264624254e-07,True
4,1.0000000000000002,grid,ideal,1.0000000000000002,2,7.703719777548942e-33,True
4,1.0000000000000002,grid,untrimmed,1.0000000000000002,2,1.4843358642505205e-05,True
4,1.0000000000000002,grid,trim_target,1.0000000000000002,2,5.937493735667208e-07,True
4,2,grid,ideal,2,2,1.574447725916868e-17,True
4,2,grid,untrimmed,2,2,8.641680916614952e-05,True
4,2,grid,trim_target,2,2,2.238635736419406e-06,True
4,3,grid,ideal,1.758544921875,2,2.767160410821993e-17,True
4,3,grid,untrimmed,1.758544921875,2,6.110462250545992e-05,True
4,3,grid,trim_target,1.758544921875,2,1.6839231105531378e-06,True
4,10,grid,ideal,1.52587890625,2,2.972911855343167e-17,True
4,10,grid,untrimmed,1.52587890625,2,4.0665217449051574e-05,True
4,10,grid,trim_target,1.52587890625,2,1.225166359531183e-06,True
4,500000,grid,ideal,1.1641532182693481,2,2.405069571047213e-17,True
4,500000,grid,untrimmed,1.1641532182693481,2,1.8987786412792918e-05,True
4,500000,grid,trim_target,1.1641532182693481,2,7.134258381031017e-07,True
4,1e+100,grid,ideal,1.142987391282275,2,6.5973518399165015e-18,True
4,1e+100,grid,untrimmed,1.142987391282275,2,1.8219741233903158e-05,True
4,1e+100,grid,trim_target,1.142987391282275,2,6.932930962179645e-07,True
4,1e+300,grid,ideal,1.4932217896051503,2,1.679895500193106e-17,True
4,1e+300,grid,untrimmed,1.4932217896051503,2,3.812158064618531e-05,True
4,1e+300,grid,trim_target,1.4932217896051503,2,1.1678214152576023e-06,True
4,1.7976931348623157e+308,grid,ideal,1.6018066406249998,2,4.1633363423443364e-17,True
4,1.7976931348623157e+308,grid,untrimmed,1.6018066406249998,2,4.68827807772131e-05,True
4,1.7976931348623157e+308,grid,trim_target,1.6018066406249998,2,1.3655662822707435e-06,True
5,5e-324,grid,ideal,2,3,8.912191421884346e-18,True
