time,state,candidate,raw,geometry,next,num,den,ca,cb,port_ratio,corrected,negative
1.289766484321040090e-07,1.278447013458239995e-02,1.278446891167660075e-02,4.011429082272049973e-01,3.267157279029510135e-04,3.336424796469210190e-04,6.448832421186090347e-01,6.444210098368590156e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.052722959279609682e+00,1.425486965974520071e-01,-2.531866150447890096e-01
1.424454767691079896e-07,1.557220161009370031e-02,1.557220026689100020e-02,4.684770798303660166e-01,4.656898670679240036e-04,1.458030572048099995e-03,7.122273837944560482e-01,7.036248880498909841e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.077582809126599983e+00,1.918959584519460138e-01,-3.150298872165849806e-01
1.609586477820709950e-07,1.984485752073620116e-02,1.984485601436819860e-02,5.610291613104629871e-01,6.970452448619929645e-04,3.445984318019450210e-03,8.047932388451809471e-01,7.703142483439849864e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.090383051191469832e+00,2.671024927613859790e-01,-4.028226661573580114e-01
1.757541446691850057e-07,2.352946077119629983e-02,2.352945913622379870e-02,6.349956022338180128e-01,9.098810128864999978e-04,5.457458908532319790e-03,8.787707232682600011e-01,8.135174420473899604e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.093816624210309563e+00,3.316885286953050183e-01,-4.744228149137960093e-01
1.849642362337499884e-07,2.583195768140620144e-02,2.583195596717439979e-02,6.810391753350210076e-01,1.052555350216840060e-03,6.910171142717519768e-03,9.248211810827570156e-01,8.366198757359669669e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.094777882163439742e+00,3.733600581875379798e-01,-5.194030515980250229e-01
2.031702501009559966e-07,3.038345183201359920e-02,3.038344996288199970e-02,7.720556206351050221e-01,1.352351839154829942e-03,1.024151221662319977e-02,1.015851250401079930e+00,8.751426515283540208e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.095616082008810110e+00,4.581047497391699808e-01,-6.089066644622239677e-01
2.294466963446900114e-07,3.695255023023189672e-02,3.695254814163319995e-02,9.034181682704079952e-01,1.813124084413980089e-03,1.615046511748379973e-02,1.147233481591259929e+00,9.173056223774389561e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.095928708549769759e+00,5.840786158215599544e-01,-7.388971709115349507e-01
2.509039136914769976e-07,4.231684381783740179e-02,4.231684155354960286e-02,1.010688172408509944e+00,2.201915837185690165e-03,2.164381014715690069e-02,1.254519568299379939e+00,9.427471415744720362e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.095979142551469998e+00,6.888254991073929911e-01,-8.454107984638189466e-01
2.891383115595759794e-07,5.187542412728359670e-02,5.187542155761060148e-02,1.201831496010439926e+00,2.896438990229959973e-03,3.198271353020119834e-02,1.445691557588159926e+00,9.741115032620669689e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.095994616669689670e+00,8.774750689544089655e-01,-1.035540006397239976e+00
3.323947440364699869e-07,6.268951056677370126e-02,6.268950766312719747e-02,1.418081222722979984e+00,3.657977394453140046e-03,4.428222164471779659e-02,1.661333697368120088e+00,9.953787754855389913e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.095995681729870164e+00,1.092209252663109975e+00,-1.250831735774150077e+00
3.729802889507019792e-07,7.283587644877609346e-02,7.283587324253840145e-02,1.620978513086160033e+00,4.338201381813599697e-03,5.621136879985379892e-02,1.814344567626029914e+00,1.007055790282149976e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703178839875e+00,1.294102054093769993e+00,-1.452881621402950074e+00
3.923410778221489925e-07,7.767606395878109971e-02,7.767606061176450527e-02,1.717767939076739969e+00,4.651844063038820289e-03,6.199551494552540259e-02,1.864025249927300010e+00,1.010816412050459911e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703741269978e+00,1.390462553536000012e+00,-1.549272170139130100e+00
4.262785386509779800e-07,8.616041214637799872e-02,8.616040855800609355e-02,1.887429793948639967e+00,5.189674601928129759e-03,7.223989232339660116e-02,1.926770870448849982e+00,1.015538890808560080e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703920039865e+00,1.559402708081149891e+00,-1.718237733945080059e+00
4.746007872188209803e-07,9.824095004891110483e-02,9.824094612845399310e-02,2.129004800475850168e+00,5.945206079895099839e-03,8.699290174281859578e-02,1.980623166786350087e+00,1.019551176719259988e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703938799970e+00,1.799976907682149907e+00,-1.958823708690430099e+00
5.597790068280099583e-07,1.195354622080729984e-01,1.195354577338409996e-01,2.554832024265900170e+00,7.329595721760439990e-03,1.132767607148599948e-01,2.023239381136630044e+00,1.022669241944180074e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939119714e+00,2.224058095364259913e+00,-2.382909011708839842e+00
6.892095389784709477e-07,1.518930302600000060e-01,1.518930250160759887e-01,3.201887626337540205e+00,9.829733819486990640e-03,1.535174803590640125e-01,2.041037580169720034e+00,1.023943756667049954e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,2.868465673365280022e+00,-3.027318082212589800e+00
7.495393289045619671e-07,1.669754474366600128e-01,1.669754418614129987e-01,3.503491335224259817e+00,1.124031232727279971e-02,1.723241142153139893e-01,2.043234354891779958e+00,1.024112652401840018e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,3.168835195209819933e+00,-3.327688203085830132e+00
8.173290713423249697e-07,1.839228489841039926e-01,1.839228430559640137e-01,3.842389212499199846e+00,1.304806584318190035e-02,1.934712537845260094e-01,2.044303841344960126e+00,1.024218298931250049e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,3.506346272092120131e+00,-3.665199955431110102e+00
9.084644261310260291e-07,2.067066418734830047e-01,2.067066355013010004e-01,4.297997644829360198e+00,1.588066879610219861e-02,2.219127051044050003e-01,2.044873016017959788e+00,1.024324407132209958e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,3.960090312835310211e+00,-4.118944905364269715e+00
9.708348649387140272e-07,2.222992202162419884e-01,2.222992135590660112e-01,4.609803067791919950e+00,1.809668143228559956e-02,2.413809073750340095e-01,2.045038649438419842e+00,1.024397718157090020e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,4.270619799266770045e+00,-4.429475014093079643e+00
1.058320581080350081e-06,2.441706052524809933e-01,2.441705982197500124e-01,5.047166043652859813e+00,2.159457119288130111e-02,2.686907787768170186e-01,2.045169246980759858e+00,1.024516266525369979e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,4.706193045511770201e+00,-4.865049133226629685e+00
1.177798986255210073e-06,2.740401464353560135e-01,2.740401389320680225e-01,5.644468473553340360e+00,2.711670375586250001e-02,3.059893649812099881e-01,2.045299267592730175e+00,1.024720826097750059e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,5.301051258805899558e+00,-5.459908538616599749e+00
1.362270003409059943e-06,3.201578078704879760e-01,3.201577997268019726e-01,6.566685225728869924e+00,3.734630731762419997e-02,3.635784342056450069e-01,2.045525213979720203e+00,1.025157920141080092e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,6.219494215015609839e+00,-6.378353335385999578e+00
1.562634210202450069e-06,3.702487586627870031e-01,3.702487499266640114e-01,7.568356007711710021e+00,5.080744406647109968e-02,4.261294561733749986e-01,2.045865353567060119e+00,1.025835414757580111e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,7.217066067818070252e+00,-7.375927187322449896e+00
1.675796790523610053e-06,3.985393467316050153e-01,3.985393377022810046e-01,8.134084049250619231e+00,5.949230775946619948e-02,4.614573235819209862e-01,2.046111940245970207e+00,1.026327318965220003e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.095995703939109944e+00,7.780479098058529885e+00,-7.939341346642620145e+00
1.837739827147300034e-06,4.390250242769210276e-01,4.390250148734159974e-01,8.943677791964649515e+00,7.328027903459939651e-02,5.120138118096220214e-01,2.046543688257159932e+00,1.027188649852309954e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.731901807360760159e+00,8.586759908543770692e+00,-8.745623772914610683e+00
1.988519578069600035e-06,4.767198860004059902e-01,4.767198762912500110e-01,9.697463477354990147e+00,8.755685710990389337e-02,5.590852701080050169e-01,2.047038503907419926e+00,1.028175809045859923e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.436815475271040032e+00,9.337461033420639822e+00,-9.496326402196540784e+00
2.086009416866069882e-06,5.010922965453239453e-01,5.010922866581279944e-01,1.007650640422430044e+01,9.752622969294000299e-02,5.895203177359139568e-01,2.047410660244020075e+00,1.028918263065840000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.269653700268869922e+00,9.799095557291220615e+00,-9.928910508896310105e+00
2.208820547080139932e-06,5.317950171673659909e-01,5.317950070756060077e-01,1.021679343292709952e+01,1.109105036989609938e-01,6.278603401011260132e-01,2.047942592027060194e+00,1.029979470129960051e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.080883100978749845e+00,1.010991429843699940e+01,-1.014888083727590029e+01
2.369817224320299966e-06,5.720441052738749477e-01,5.720440949438979628e-01,1.024851695936320084e+01,1.298505465788609980e-01,6.781213888767440023e-01,2.048754700032469955e+00,1.031599630461450090e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.864111816677549882e+00,1.019713675481320081e+01,-1.020169359640850004e+01
2.683218857692430056e-06,6.503943554994909837e-01,6.503943447883789863e-01,1.025263445248000060e+01,1.712565831906890101e-01,7.759612638573819554e-01,2.050750868958670203e+00,1.035581999433339950e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.519084410438010124e+00,1.020851723232379982e+01,-1.020852690383030037e+01
3.158803444983459821e-06,7.692902622932280554e-01,7.692902511649369890e-01,1.025257928284760034e+01,2.455396966833189865e-01,9.244325274763740552e-01,2.054993184033110154e+00,1.044045443435329901e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.129753048857829789e+00,1.020836510103140071e+01,-1.020843537499469988e+01
3.658803444983460116e-06,8.942900098594319669e-01,8.942899984402490343e-01,1.025257928826949971e+01,3.385208599368069726e-01,1.080525962252149919e+00,2.061322125590800081e+00,1.056671719778629948e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832065955688330083e+00,1.020836511377640043e+01,-1.020843538397300065e+01
4.158803444983460411e-06,1.019289757366740101e+00,1.019289745757260057e+00,1.025257929979619931e+01,4.467590570309190046e-01,1.236619396948680061e+00,2.069911882213060217e+00,1.073808335727099994e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.607392078390269985e+00,1.020836514553229968e+01,-1.020843540309819986e+01
4.658803444983459859e-06,1.144289504832330051e+00,1.144289493098799904e+00,1.025257929949530045e+01,5.702542879446439450e-01,1.392712831589340006e+00,2.081112696820630159e+00,1.096154028006949943e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518846909161730041e+00,1.020836514470340006e+01,-1.020843540259880022e+01
5.158803444983460154e-06,1.269289252267499890e+00,1.269289240453550072e+00,1.025257929950080005e+01,7.090065526763209558e-01,1.548806266189540093e+00,2.095274530020990067e+00,1.124406970127789895e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.490758834200359928e+00,1.020836514471869982e+01,-1.020843540260799998e+01
5.658803444983459602e-06,1.394288999679710095e+00,1.394288987814080061e+00,1.025257929950080005e+01,8.630158512248530256e-01,1.704899700759449965e+00,2.112747342307870202e+00,1.159265335372249961e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.457990524000650101e+00,1.020836514471850087e+01,-1.020843540260790050e+01
6.158803444983459897e-06,1.519288747073860080e+00,1.519288735175460037e+00,1.025257929950080005e+01,1.032282183589199986e+00,1.860993135305720081e+00,2.133881094440240211e+00,1.201427297552170037e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.420897360124369957e+00,1.020836514471850087e+01,-1.020843540260790050e+01
