time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
2.447624525804328510e-06,-3.742227572882792203e-09,-2.313428663512838273e-06,1.493881370799864827e+00,-4.395012496525784601e-02,2.658508484589689136e+00,-3.110479994671170867e-01,2.321022326626231133e-06,-3.110390267819421184e-01,7.783964145970262427e-01,7.928010167229772032e-01,1.329254242292375210e+00,-1.468200128996047153e-12,2.784416029652615412e-05,-1.999999999989950355e-03,2.635509714200852252e-07
3.700848464052629799e-06,-5.239000735328481972e-09,-4.295410532252739992e-07,1.493881644472389914e+00,-6.901460372949014266e-02,2.658508849486384218e+00,-3.628017046722413763e-01,1.259807098409317142e-06,-3.627941124070796497e-01,7.711409679334758627e-01,7.582909191357737333e-01,1.329254424740722751e+00,-3.613071684745605929e-12,2.972750090958630964e-05,-1.999999999999303116e-03,7.521669711757631634e-08
5.464141673414717275e-06,-6.967389912711192487e-09,2.723793309869996275e-06,1.493884566691140892e+00,-1.042804679151590475e-01,2.658512745777994457e+00,-3.731262423893260127e-01,4.568534912388825370e-06,-3.731210952138133141e-01,7.554869439350250238e-01,7.514053252344038425e-01,1.329256372886527648e+00,-8.242639938282284727e-12,3.035093211236620351e-05,-1.999999999991561913e-03,1.287311391939017775e-08
8.961722775216019899e-06,-9.407770431484009710e-09,9.255193171340823005e-06,1.493893578435458780e+00,-1.742320898969714482e-01,2.658524761436905415e+00,-3.716103748188071543e-01,1.113255173892546819e-05,-3.716103542522485870e-01,7.522072851408965199e-01,7.524136482124491598e-01,1.329262380715983349e+00,-2.300114334310993506e-11,3.047581453595412965e-05,-1.999999990260176077e-03,3.833957147202593336e-10
1.001566601562499994e-05,-9.961522235440644361e-09,1.123192009052557358e-05,1.493896500464685584e+00,-1.953109543347505694e-01,2.658528657475816903e+00,-3.715565394486560757e-01,1.306762071131740304e-05,-3.715580834951400235e-01,7.522599720552978209e-01,7.524487964727296641e-01,1.329264328735438871e+00,-2.890195869337675012e-11,3.047831584097421232e-05,-1.999999911324517286e-03,1.326751328901496417e-10
1.092963966774345981e-05,-1.159630323188615903e-08,1.205527338981897958e-05,1.493898882405935380e+00,-2.135904250757178213e-01,2.658531833397435928e+00,-3.715502435130192960e-01,1.226856707271240101e-05,-3.715528972113726902e-01,7.522847101552417870e-01,7.524523099502234968e-01,1.329265916696248384e+00,-3.456411685927836027e-11,3.047910891617961065e-05,-1.999999453948812268e-03,5.280139817790404182e-11
1.252337104801799292e-05,-1.444693439346217374e-08,1.152696257289875118e-05,1.493901134618338844e+00,-2.454649889612191271e-01,2.658534836347262065e+00,-3.715548243077563262e-01,1.166389227509815785e-05,-3.715574489252030932e-01,7.522966003020320480e-01,7.524487164273346851e-01,1.329267418171161452e+00,-4.564846121660385006e-11,3.047952436140539156e-05,-1.999986632611554759e-03,1.014844438233403819e-11
1.487011091256794991e-05,-1.864443584670231101e-08,9.674774928026235786e-06,1.493900442117047422e+00,-2.923924884975088179e-01,2.658533913012221195e+00,-3.715560447127334021e-01,1.024663640923616518e-05,-3.715575522493204663e-01,7.522969817198815745e-01,7.524474670797729470e-01,1.329266956503640795e+00,-6.477187290599234678e-11,3.047960465829891550e-05,-1.998541615442109114e-03,2.064194137276370356e-13
1.795196134201227349e-05,-2.415679443764768942e-08,7.000964134187094429e-06,1.493896952099393660e+00,-3.512149667937429220e-01,2.658529259655418642e+00,-3.715523634289224497e-01,7.648825673270725066e-06,-3.715521625319281318e-01,7.522983032772363465e-01,7.524494302260134049e-01,1.329264629825239741e+00,-9.490751855717074053e-11,3.047958620898938138e-05,-1.537177094984367842e-03,-9.622054472226847450e-13
2.009609960604988454e-05,-2.799191208781563311e-08,5.129672248876095822e-06,1.493894196379532469e+00,-3.687497900167384102e-01,2.658525585362324861e+00,-3.715494560806984481e-01,5.780720083218981404e-06,-3.715480899641949719e-01,7.522998210431288690e-01,7.524509970061641351e-01,1.329262792678692851e+00,-1.184472275649379377e-10,3.047956393909417408e-05,-2.781521481332057777e-04,-1.089179992246904791e-12
2.274012655208150315e-05,-3.272115673407661289e-08,3.631923953519607993e-06,1.493891225395727274e+00,-3.713496509452913763e-01,2.658521624050643517e+00,-3.715469326151515372e-01,4.056085009931097737e-06,-3.715458442596699107e-01,7.523006393388117496e-01,7.524510695578229269e-01,1.329260812022852400e+00,-1.481356396986917930e-10,3.047953457516574052e-05,-1.972752715976150079e-05,-1.121619741376012720e-12
2.674012655208149195e-05,-3.987576558090996575e-08,1.914621325720898747e-06,1.493888302436488624e+00,-3.715415541247897302e-01,2.658517726771716827e+00,-3.715445348219139077e-01,2.268609032948443456e-06,-3.715444152322166516e-01,7.522998630271167109e-01,7.524500496949494410e-01,1.329258863383388833e+00,-1.931629365784094007e-10,3.047948958855543431e-05,-2.980697111446410191e-07,-1.125675324370147637e-12
3.002924302280417137e-05,-4.575885102888946336e-08,5.254109571219162266e-07,1.493886206485630419e+00,-3.715431586695501220e-01,2.658514932170614298e+00,-3.715427532346380901e-01,8.765283977492772816e-07,-3.715434460432681107e-01,7.522989171389684593e-01,7.524491125123751178e-01,1.329257466082837791e+00,-2.301924709272764974e-10,3.047945256020254337e-05,4.054349119428259929e-08,-1.125782717814057486e-12
3.350216438232713238e-05,-5.197069949573039589e-08,-7.092642965162647873e-07,1.493884180429609687e+00,-3.715433848727702215e-01,2.658512230762627215e+00,-3.715438387430117784e-01,1.042820285563925305e-06,-3.715447870762052518e-01,7.522996167025473024e-01,7.524502810805584474e-01,1.329256115378844028e+00,-2.692913020049791589e-10,3.047941346151854293e-05,-4.538702414691097172e-08,-1.125786072318638255e-12
3.750216438232712118e-05,-5.912530833557924743e-08,-2.034715120711650802e-06,1.493882155105535237e+00,-3.715456015289219094e-01,2.658509530330567916e+00,-3.715461911775290171e-01,2.365874712874863315e-06,-3.715475304244925669e-01,7.523002568474096430e-01,7.524508598567493101e-01,1.329254765162814600e+00,-3.143242641109762434e-10,3.047936842874630990e-05,-5.896486069156455690e-08,-1.125791983676873524e-12
4.015700252772722245e-05,-6.387389045000776464e-08,-2.904958611391491036e-06,1.493880841545590865e+00,-3.715471815122257659e-01,2.658507778917334807e+00,-3.715478614715632677e-01,3.139709197292800225e-06,-3.715493474076229097e-01,7.523006178319829873e-01,7.524510404103670336e-01,1.329253889456198046e+00,-3.442132259777057061e-10,3.047933853991832841e-05,-6.799593372760887603e-08,-1.125796693349466686e-12
4.235106295529347288e-05,-6.779830148051716142e-08,-2.677939225129096825e-06,1.493880240428846484e+00,-3.715476980219739045e-01,2.658506977428353846e+00,-3.715473394753803782e-01,2.690103953512831572e-06,-3.715482856879916973e-01,7.523001143324733464e-01,7.524504626802995810e-01,1.329253488711707787e+00,-3.689146992610140253e-10,3.047931383854775772e-05,3.585465935104567099e-08,-1.125799791711284327e-12
4.632914991328671651e-05,-7.491371550364928790e-08,-1.413357798579895595e-06,1.493881472426927148e+00,-3.715454837049788073e-01,2.658508620092436825e+00,-3.715449694633430333e-01,1.560820436653177350e-06,-3.715457900633711286e-01,7.522997715285971720e-01,7.524500800465188100e-01,1.329254310043749054e+00,-4.137012186405546000e-10,3.047926905211040534e-05,5.142416356973132756e-08,-1.125794989457989666e-12
5.000394865728913273e-05,-8.148665239072461409e-08,-1.892170906806411881e-07,1.493883258643163625e+00,-3.715437582428318120e-01,2.658511001714050526e+00,-3.715433083994491570e-01,3.419230423976762553e-07,-3.715440702660657846e-01,7.522990943639793482e-01,7.524493588599464600e-01,1.329255500854555905e+00,-4.550730032054748374e-10,3.047922768039110217e-05,4.498433825747641949e-08,-1.125789502886776839e-12
5.211113341289186845e-05,-8.525567305531381660e-08,9.359923694867112425e-07,1.493884497617325113e+00,-3.715428337012161020e-01,2.658512653679574456e+00,-3.715425768888785396e-01,1.571484357379743945e-06,-3.715444383434040043e-01,7.522995821603399857e-01,7.524503515383613728e-01,1.329256326837317648e+00,-4.787961192132901551e-10,3.047920395731416301e-05,2.568123375257810131e-08,-1.125786521584912347e-12
5.611113341289185726e-05,-9.241028188308557310e-08,3.601807049402231408e-06,1.493888092812596602e+00,-3.715429560812226195e-01,2.658517447273198275e+00,-3.715431410283512315e-01,4.278392499686927187e-06,-3.715476196609985848e-01,7.523002283490020092e-01,7.524507571615683954e-01,1.329258723634129558e+00,-5.238288750353720966e-10,3.047915892467691992e-05,-1.849471286104277495e-08,-1.125785302873907474e-12
5.999999999999999474e-05,-9.936611168413433379e-08,6.232256801392711499e-06,1.493891996242704634e+00,-3.715437885174720511e-01,2.658522651846597640e+00,-3.715440147417984895e-01,6.910093656936757439e-06,-3.715510765389256620e-01,7.523004204171549469e-01,7.524509217373770431e-01,1.329261325920829462e+00,-5.676105414591468009e-10,3.047911514315980515e-05,-2.262243264348318207e-08,-1.125787521422602761e-12
6.079566864775699163e-05,-1.007892861661282231e-07,6.386354387068140612e-06,1.493892739068354070e+00,-3.715441704254441868e-01,2.658523642280782529e+00,-3.715449758269184777e-01,6.403291080307046902e-06,-3.715519404690726946e-01,7.523003107983166071e-01,7.524504407664127648e-01,1.329261821137921684e+00,-5.765683580574009073e-10,3.047910618537573958e-05,-8.054014738898353173e-08,-1.125788174230895049e-12
6.264412524063007364e-05,-1.040955321281267606e-07,5.351587673311638881e-06,1.493893166245079840e+00,-3.715467407605942962e-01,2.658524211849742080e+00,-3.715484370967053751e-01,5.740195436879487515e-06,-3.715537832750855363e-01,7.522992043840922571e-01,7.524489685637754111e-01,1.329262105922401238e+00,-5.973787753418757957e-10,3.047908537506791013e-05,-1.696336107013789982e-07,-1.125793076603483913e-12
6.600184387242336275e-05,-1.101013229636138549e-07,2.503495028619914199e-06,1.493890164185747160e+00,-3.715516886724063994e-01,2.658520209104024090e+00,-3.715528798033683189e-01,3.142242413504405337e-06,-3.715543176042723217e-01,7.522976315330077712e-01,7.524478472236613147e-01,1.329260104549542687e+00,-6.351812799266826264e-10,3.047904757282306540e-05,-1.191130960534077237e-07,-1.125808073491221276e-12
6.999999999999996676e-05,-1.172526337358955575e-07,-1.010885556315761224e-06,1.493885044049533706e+00,-3.715559108794609378e-01,2.658513382255841329e+00,-3.715569079114552364e-01,1.890967479072887461e-06,-3.715535688125606306e-01,7.522970412761527115e-01,7.524473945197963642e-01,1.329256691125451306e+00,-6.801946225419480560e-10,3.047900255974853273e-05,-9.970319934930275227e-08,-1.125821811433889378e-12
7.093553050089748105e-05,-1.189259724285055572e-07,-1.516462577411215536e-06,1.493883877435283170e+00,-3.715565622276800761e-01,2.658511826770197484e+00,-3.715568785789224449e-01,1.807605479926786111e-06,-3.715529978400712863e-01,7.522971442449074564e-01,7.524479532800245618e-01,1.329255913382629384e+00,-6.907273854710441891e-10,3.047899202704284027e-05,-3.163512423250567842e-08,-1.125824476707761127e-12
7.360716050636087612e-05,-1.237045893260405040e-07,-1.632245685358318904e-06,1.493882179708519553e+00,-3.715556921274314472e-01,2.658509563134546116e+00,-3.715551677929417873e-01,1.616919811035407359e-06,-3.715510682846910329e-01,7.522989785773884774e-01,7.524501910903639290e-01,1.329254781564803700e+00,-7.208061978045016065e-10,3.047896194832674162e-05,5.243344895292859697e-08,-1.125825366261762172e-12
7.760250936072096684e-05,-1.308508788579656204e-07,-1.301894188091026678e-06,1.493882226342243547e+00,-3.715543844474037405e-01,2.658509625312843738e+00,-3.715541979886565760e-01,1.289420554234691137e-06,-3.715502748187459736e-01,7.523013582210257288e-01,7.524523105086561303e-01,1.329254812653952511e+00,-7.657880630323297073e-10,3.047891696654840939e-05,1.864587471743579447e-08,-1.125820994385907931e-12
8.012631292261391234e-05,-1.353650856586990216e-07,-1.074056183080870254e-06,1.493882540717296870e+00,-3.715539754918039672e-01,2.658510044479575729e+00,-3.715538358640349537e-01,1.066163232816647424e-06,-3.715500291194550053e-01,7.523025506445079058e-01,7.524533733104461497e-01,1.329255022237318284e+00,-7.942023936603474206e-10,3.047888855228540148e-05,1.396277689812500229e-08,-1.125819506064316189e-12
