time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
1.578946149728190354e-07,1.231090900722822538e-10,1.471708038133292298e-07,1.216000017333346062e+00,-1.266337263006623182e-04,2.288000018820647519e+00,-2.431441263637236939e-03,1.004709752336545144e-06,-2.426232663608008776e-03,1.459986599901000603e-01,9.985880875131033507e-01,1.144000009409243734e+00,-1.564011902508510330e-16,4.448295681614284537e-06,-2.294658567319332663e-04,2.600746861520774901e-06
2.359499542883762948e-07,1.830289344530081819e-10,2.114430028943950627e-07,1.216000020052510289e+00,-3.947389606424359879e-04,2.288000022446199822e+00,-5.149957456999225934e-03,1.001716932460215963e-06,-5.144880680812641618e-03,2.099477114322278182e-01,9.967753415607981671e-01,1.144000011222019886e+00,-7.365308332481672266e-16,6.401116349587522717e-06,-4.667594746432064332e-04,2.405465100707465336e-06
3.100669682806624971e-07,2.393579956965025682e-10,2.677908290595624906e-07,1.216000025103897375e+00,-8.363345787949476176e-04,2.288000029181382455e+00,-8.466472911549480923e-03,9.988745493585009587e-07,-8.461516606536946192e-03,2.660747315961580761e-01,9.945638532678715560e-01,1.144000014589611425e+00,-2.083102292218627760e-15,8.119517884300842396e-06,-7.280308466923357709e-04,2.233625178344640503e-06
5.099015793497731403e-07,3.885202861573335168e-10,3.994844690881340822e-07,1.216000049651475345e+00,-2.982623365411718463e-03,2.288000061911485972e+00,-2.008894973114202370e-02,9.912081909377209452e-07,-2.008429793671161548e-02,3.973239311087586323e-01,9.868138960524051040e-01,1.144000030954662961e+00,-1.297709583837179991e-14,1.216541683860475687e-05,-1.387673288403366801e-03,1.829035700569778620e-06
7.445545540548339839e-07,5.587320114178357042e-10,5.222481613613349982e-07,1.216000095659816260e+00,-6.811792968230064374e-03,2.288000123255939933e+00,-3.682361013488220924e-02,9.822011366654771379e-07,-3.681928394826841644e-02,5.194125578066280946e-01,9.756551299114213371e-01,1.144000061626889941e+00,-4.721603540318097786e-14,1.599099535579485748e-05,-1.810509937171429730e-03,1.446478103122021363e-06
1.175807474409153800e-06,8.581561792403646859e-10,6.802273475547305147e-07,1.216000213107402361e+00,-1.512934241791927606e-02,2.288000279852718588e+00,-7.001980165214735652e-02,9.656342782035442991e-07,-7.001600617209369215e-02,6.750473378025926285e-01,9.535197581970318303e-01,1.144000139925279269e+00,-1.898282491354146169e-13,2.105837140277359780e-05,-1.983540868251167360e-03,9.397406672103525926e-07
1.997251286904876007e-06,1.383508110428833559e-09,8.300040678493287542e-07,1.216000475736520814e+00,-3.152686360624969153e-02,2.288000630024871640e+00,-1.238115832162084845e-01,9.340329899799136726e-07,-1.238086477341824587e-01,8.189888288229022484e-01,9.176511603559711627e-01,1.144000315011355795e+00,-7.702729590228490592e-13,2.632361996697622628e-05,-1.999607225851969105e-03,4.132158160242282194e-07
3.208348533252547140e-06,2.061391624260546186e-09,8.833337241250488688e-07,1.216000785857514588e+00,-5.574723590095904263e-02,2.288001043519523936e+00,-1.673267482198520506e-01,9.110450561556146771e-07,-1.673249141544404517e-01,8.745267495225926835e-01,8.886349524471895966e-01,1.144000521758681943e+00,-2.371642358923422826e-12,2.922566704618664675e-05,-1.999942967382184987e-03,1.230109536951890867e-07
4.797231601247674301e-06,2.801508249345038429e-09,8.557629996297386695e-07,1.216000969823120004e+00,-8.752329203156425375e-02,2.288001288806994271e+00,-1.852339942661110628e-01,8.834688135375268350e-07,-1.852335087165904171e-01,8.785739686968460083e-01,8.766940440398106604e-01,1.144000644402417111e+00,-5.820535684655598191e-12,3.020498051382625735e-05,-1.999771696104143091e-03,2.507926219267152055e-08
7.470946515589847675e-06,3.745219663289713998e-09,7.603393789932693323e-07,1.216000968591502973e+00,-1.408282336838578286e-01,2.288001287164838082e+00,-1.888299651181135907e-01,7.880260963656011476e-07,-1.888317004935112509e-01,8.746611722582029458e-01,8.742956659744952619e-01,1.144000643581339016e+00,-1.507492885760512401e-11,3.043858643968152682e-05,-1.967355321951350620e-03,1.717744171723319003e-09
