 time                     v(lower)                 v(upper)                 v(unit)                  v(dl)                    v(ratio)                 v(core)
 2.00000000000000007e-10  9.99021804327628483e-04  9.98999228045356884e-04  1.00000000000000000e+00  2.89977349806600673e-09  9.99999986625885628e-01 -2.99640384535502567e-12
 2.00011216710073984e-10  9.99077833014169921e-04  9.99055255465743173e-04  1.00000000000000000e+00  2.89993612781512912e-09  9.99999986625135562e-01 -2.99657190408104611e-12
 2.00033650130221965e-10  9.99189890379711303e-04  9.99167310298981846e-04  1.00000000000000000e+00  2.90026138710414310e-09  9.99999986623635428e-01 -2.99690804375023010e-12
 2.00078516970517925e-10  9.99414005074594942e-04  9.99391419929295411e-04  1.00000000000000000e+00  2.90091190545630030e-09  9.99999986620635273e-01 -2.99758043134011693e-12
 2.00168250651109846e-10  9.99862234314739719e-04  9.99839639040445757e-04  1.00000000000000000e+00  2.90221294174597346e-09  9.99999986614635294e-01 -2.99892565503222065e-12
 2.00347718012293687e-10  1.00075869219267647e-03  1.00073607666098128e-03  1.00000000000000000e+00  2.90481501305782886e-09  9.99999986602635338e-01 -3.00161790886997472e-12
 2.00706652734661369e-10  1.00255160553605529e-03  1.00252894949191254e-03  1.00000000000000000e+00  2.91001915092442809e-09  9.99999986578637756e-01 -3.00700965227686505e-12
 2.01424522179396709e-10  1.00613742257038606e-03  1.00611468551079462e-03  1.00000000000000000e+00  2.92042740787941192e-09  9.99999986530651697e-01 -3.01782208990038176e-12
 2.02860261068867413e-10  1.01330901802755015e-03  1.01328611897502359e-03  1.00000000000000000e+00  2.94124384687630385e-09  9.99999986434717658e-01 -3.03956277429735491e-12
 2.05731738847808822e-10  1.02765205449578331e-03  1.02762883161065886e-03  1.00000000000000000e+00  2.98287642537440225e-09  9.99999986243002015e-01 -3.08350738124894781e-12
 2.11474694405691639e-10  1.05633750965843185e-03  1.05631363973257130e-03  1.00000000000000000e+00  3.06614038448748621e-09  9.99999985860190788e-01 -3.17324952366379126e-12
