 time                  v(state)              v(candidate)          v(out)                v(outgeo)             v(next)               v(num)                v(den)                v(ca)                 v(cb)                 v(clipratio)          v(corrected)          v(neg)                v(servoerr)          
1.000000000000000062e-09,1.556627470683119966e-06,1.556637462354320022e-06,1.190087793626699946e-05,1.190087793626699946e-05,4.876192594375029966e-05,4.999877380164209802e-03,4.999999989992500067e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.901684966797559980e-04,-1.193535841963540022e-05,4.253691456431870038e-04,3.930861626028140154e+00
1.000197060539580102e-09,1.556934252272199991e-06,1.556944245912370062e-06,1.190322408644000073e-05,1.190322408644000073e-05,4.877153648723850203e-05,5.000862658698650327e-03,5.000985292690410429e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.902059762817259931e-04,-1.193771065072750003e-05,4.254543633875219736e-04,3.930897921455770216e+00
1.001773544856240061e-09,1.559390670576289968e-06,1.559400679968150058e-06,1.192205438750909940e-05,1.192205438750909940e-05,4.884851609546300049e-05,5.008744886978339604e-03,5.008867714273680313e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.905061470970329949e-04,-1.195654507992899984e-05,4.261360860627940177e-04,3.931189098074039823e+00
1.013062100543540031e-09,1.577093136719129903e-06,1.577103258901829911e-06,1.205898355073640019e-05,1.205898355073640019e-05,4.940299174512880186e-05,5.065186281465289611e-03,5.065310492710069744e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.926729805045100099e-04,-1.209227855964079999e-05,4.310166143967969965e-04,3.933315734061619828e+00
1.033778226442860008e-09,1.610095913456579924e-06,1.610106242623960080e-06,1.231414701034730006e-05,1.231414701034730006e-05,5.042651297961919939e-05,5.168764372209500371e-03,5.168891122206549678e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.967289801590199920e-04,-1.234535334130069970e-05,4.399684850781349944e-04,3.937397993267679919e+00
1.075062718432219900e-09,1.677858932481280052e-06,1.677869674131020073e-06,1.282467339852329999e-05,1.282467339852329999e-05,5.246905344427700069e-05,5.375181776593129790e-03,5.375313582153030262e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.051187611040779929e-04,-1.286525017908959925e-05,4.577906134605750016e-04,3.946096878417340026e+00
1.132215062473710052e-09,1.776046989969879944e-06,1.776058302617719918e-06,1.353117833843069944e-05,1.353117833843069944e-05,5.529546800113330148e-05,5.660936506521440335e-03,5.661075302360019622e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.174059273711220026e-04,-1.361964550267129998e-05,4.824237486147409971e-04,3.958672047009879957e+00
1.196772939083480015e-09,1.893075066394030096e-06,1.893087023994500080e-06,1.432869015043010023e-05,1.432869015043010023e-05,5.848614684354330176e-05,5.983718005235429994e-03,5.983864685408299758e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.322221805399950093e-04,-1.452092986054690002e-05,5.101943577015380414e-04,3.972797649104970130e+00
1.318817660533850084e-09,2.132043040174329904e-06,2.132056216943520038e-06,1.583487086477049926e-05,1.583487086477049926e-05,6.451240415509880042e-05,6.593926741188659880e-03,6.594088292659090224e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.629358475141129825e-04,-1.636922983375579905e-05,5.625366804562209741e-04,3.999151471908339861e+00
1.418213805248610063e-09,2.343799303209450095e-06,2.343813472807200022e-06,1.706012064267710168e-05,1.706012064267710168e-05,6.941490044053120231e-05,7.090895385727710026e-03,7.091069016231989902e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.905504293380050231e-04,-1.801528229926489978e-05,6.050140643632470096e-04,4.020220753274590386e+00
1.471734143284720026e-09,2.464191659927219837e-06,2.464206364084280050e-06,1.771934174855340066e-05,1.771934174855340066e-05,7.205265529754220231e-05,7.358490583927070408e-03,7.358670706411979574e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.063823748028309782e-04,-1.895411041081910013e-05,6.278300532149090531e-04,4.031434034308209569e+00
1.478787474143539923e-09,2.480390507803990098e-06,2.480405282407700144e-06,1.780619210753710120e-05,1.780619210753710120e-05,7.240017405738990487e-05,7.393756383283700377e-03,7.393937360706049830e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.085189781731719947e-04,-1.908057940781299859e-05,6.308339955662519653e-04,4.032905541425559903e+00
1.482242815326780048e-09,2.488354393409820181e-06,2.488369202524340133e-06,1.784873676412849898e-05,1.784873676412849898e-05,7.257041033285539951e-05,7.411032670429570056e-03,7.411214066622220063e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.095699286033329984e-04,-1.914276813447779831e-05,6.323053418819320507e-04,4.033625900176409651e+00
1.483972699964299947e-09,2.492348421791850064e-06,2.492363248183849919e-06,1.787003579056429888e-05,1.787003579056429888e-05,7.265563534114880635e-05,7.419681883976790224e-03,7.419863489809789582e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.100971278983309870e-04,-1.917395992440229960e-05,6.330418964228760187e-04,4.033984855067750175e+00
1.485644674930240025e-09,2.496213173679249861e-06,2.496228016770320041e-06,1.789062145340939989e-05,1.789062145340939989e-05,7.273800595302289910e-05,7.428041556192360208e-03,7.428223364639460410e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.106073448063740076e-04,-1.920414404646630135e-05,6.337537551118320326e-04,4.034313705982579989e+00
1.488483838148429980e-09,2.502785838825680170e-06,2.502800710273220032e-06,1.792557694939869934e-05,1.792557694939869934e-05,7.287787547267910674e-05,7.442237028245159668e-03,7.442419180730379911e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.114752386815199917e-04,-1.925548159791159948e-05,6.349624672576070468e-04,4.034817667297489585e+00
1.491044421701929999e-09,2.508724355137249992e-06,2.508739252158860066e-06,1.795710173367539932e-05,1.795710173367539932e-05,7.300401754076660363e-05,7.455039635751910428e-03,7.455222098497880055e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.122595934867719949e-04,-1.930187063538139956e-05,6.360524855348350087e-04,4.035218798186489764e+00
1.493529877290899942e-09,2.514498397502189984e-06,2.514513319347460066e-06,1.798770078968290164e-05,1.798770078968290164e-05,7.312645548884410195e-05,7.467466612557440396e-03,7.467649376442710152e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.130224035217970169e-04,-1.934697910457109843e-05,6.371104366666560442e-04,4.035565153075130418e+00
