time_since_step,delta,target
1.561382244566369808e-09,-6.557747412609764570e-07,-6.000000035762786954e-01
1.627153392358198988e-09,-7.166430758718452168e-07,-6.000000035762786954e-01
1.694847920441868751e-09,-7.819943105752256800e-07,-6.000000035762786954e-01
1.764570014168046971e-09,-8.521687978051100744e-07,-6.000000035762786954e-01
1.836275911925103199e-09,-9.273729918430132158e-07,-6.000000035762786954e-01
1.910054075733406964e-09,-1.007960273200628983e-06,-6.000000035762786954e-01
1.985875432189930772e-09,-1.094170738781441667e-06,-6.000000035762786954e-01
2.063815923734402865e-09,-1.186373366978761747e-06,-6.000000035762786954e-01
2.143858190026769715e-09,-1.284842051451079281e-06,-6.000000035762786954e-01
2.226068217772876872e-09,-1.389963856125689100e-06,-6.000000035762786954e-01
2.310437981193247566e-09,-1.502046779133327164e-06,-6.000000035762786954e-01
2.397025559900507145e-09,-1.621498379657526481e-06,-6.000000035762786954e-01
2.485830363011247868e-09,-1.748661215318411652e-06,-6.000000035762786954e-01
2.576904198225038901e-09,-1.883965678671278581e-06,-6.000000035762786954e-01
2.670252394097402410e-09,-2.027789482712752445e-06,-6.000000035762786954e-01
2.765921789551323805e-09,-2.180588125962815940e-06,-6.000000035762786954e-01
2.863922424780035014e-09,-2.342775205798046479e-06,-6.000000035762786954e-01
2.964297207409772802e-09,-2.514833541380920094e-06,-6.000000035762786954e-01
3.067059927624809449e-09,-2.697213468852079917e-06,-6.000000035762786954e-01
3.172250386785052494e-09,-2.890427292243534465e-06,-6.000000035762786954e-01
3.279885359951117702e-09,-3.094963057848196075e-06,-6.000000035762786954e-01
3.390002198084358844e-09,-3.311364676881370758e-06,-6.000000035762786954e-01
3.502620052437083013e-09,-3.540158985447543604e-06,-6.000000035762786954e-01
3.617774344300841126e-09,-3.781923589192391327e-06,-6.000000035762786954e-01
3.735486117897499590e-09,-4.037225295671797110e-06,-6.000000035762786954e-01
3.855789277726546279e-09,-4.306677463910596712e-06,-6.000000035762786954e-01
3.978706377124404010e-09,-4.590888147980851287e-06,-6.000000035762786954e-01
4.104270131573143146e-09,-4.890508499106376787e-06,-6.000000035762786954e-01
4.232504298849379919e-09,-5.206189179664372033e-06,-6.000000035762786954e-01
4.363440664738598047e-09,-5.538621156164910418e-06,-6.000000035762786954e-01
4.497103950412359181e-09,-5.888499142943181449e-06,-6.000000035762786954e-01
4.633525217138045275e-09,-6.256555935249344775e-06,-6.000000035762786954e-01
4.772729958045941051e-09,-6.643531816500609398e-06,-6.000000035762786954e-01
4.914748673105187506e-09,-7.050203422522574210e-06,-6.000000035762786954e-01
5.059607475697803450e-09,-7.477358192014763508e-06,-6.000000035762786954e-01
5.207336432667714499e-09,-7.925818610782683804e-06,-6.000000035762786954e-01
5.357962158494854795e-09,-8.396420926161035023e-06,-6.000000035762786954e-01
5.511514388894253949e-09,-8.890035490211607678e-06,-6.000000035762786954e-01
5.668020144006865203e-09,-9.407549068313671378e-06,-6.000000035762786954e-01
5.827508909408724447e-09,-9.949881904347445948e-06,-6.000000035762786954e-01
5.990008036234155658e-09,-1.051797304996636114e-05,-6.000000035762786954e-01
6.155546823535763476e-09,-1.111279467632672464e-05,-6.000000035762786954e-01
6.324152894548735852e-09,-1.173533994240815844e-05,-6.000000035762786954e-01
6.495855412292186101e-09,-1.238663499697753406e-05,-6.000000035762786954e-01
6.670682225562787893e-09,-1.306772897644051338e-05,-6.000000035762786954e-01
6.848662401373552169e-09,-1.377970407430085141e-05,-6.000000035762786954e-01
7.029823977999034770e-09,-1.452366732364144250e-05,-6.000000035762786954e-01
7.214195957908336055e-09,-1.530075904736479707e-05,-6.000000035762786954e-01
7.401806540041221301e-09,-1.611214613676028315e-05,-6.000000035762786954e-01
7.592684687937156611e-09,-1.695902915192211240e-05,-6.000000035762786954e-01
7.786858738622606455e-09,-1.784263684607036821e-05,-6.000000035762786954e-01
7.984357637124284840e-09,-1.876423214616149127e-05,-6.000000035762786954e-01
8.185209841255554515e-09,-1.972510771318875257e-05,-6.000000035762786954e-01
8.389444293237756367e-09,-2.072659099058102186e-05,-6.000000035762786954e-01
8.597089558450661181e-09,-2.177004063258882252e-05,-6.000000035762786954e-01
8.808174589185137522e-09,-2.285685077412367953e-05,-6.000000035762786954e-01
9.022728048283955218e-09,-2.398844818566198540e-05,-6.000000035762786954e-01
9.240778908610719055e-09,-2.516629589419663241e-05,-6.000000035762786954e-01
9.462355922319352821e-09,-2.639189094276921525e-05,-6.000000035762786954e-01
9.687488091831523030e-09,-2.766676747864384492e-05,-6.000000035762786954e-01
9.916204252486565153e-09,-2.899249500892964526e-05,-6.000000035762786954e-01
1.014853344317599628e-08,-3.037068105235201832e-05,-6.000000035762786954e-01
1.038450457851465948e-08,-3.180296980887652750e-05,-6.000000035762786954e-01
1.062414673975249548e-08,-3.329104444700817749e-05,-6.000000035762786954e-01
1.086748891731718425e-08,-3.483662611672177942e-05,-6.000000035762786954e-01
1.111456024012290452e-08,-3.644147594305000509e-05,-6.000000035762786954e-01
1.136538977249249060e-08,-3.810739431824903227e-05,-6.000000035762786954e-01
1.162000669497524966e-08,-3.983622265355513499e-05,-6.000000035762786954e-01
1.187844014455589035e-08,-4.162984290603554186e-05,-6.000000035762786954e-01
1.214071935727454232e-08,-4.349017913202401174e-05,-6.000000035762786954e-01
1.240687354249996174e-08,-4.541919720879287499e-05,-6.000000035762786954e-01
1.267693199449393491e-08,-4.741890621819180851e-05,-6.000000035762786954e-01
1.295092399517189588e-08,-4.949135834234480853e-05,-6.000000035762786954e-01
1.322887890026989413e-08,-5.163865010134665933e-05,-6.000000035762786954e-01
1.351082606425681783e-08,-5.386292239169847626e-05,-6.000000035762786954e-01
1.379679490733808815e-08,-5.616636161071847123e-05,-6.000000035762786954e-01
1.408681485690874190e-08,-5.855119980709427315e-05,-6.000000035762786954e-01
1.438091540057769404e-08,-6.101971572142768065e-05,-6.000000035762786954e-01
1.467912603975033217e-08,-6.357423502348270199e-05,-6.000000035762786954e-01
1.498147633170911338e-08,-6.621713128516999768e-05,-6.000000035762786954e-01
1.528799585294720199e-08,-6.895082629115600349e-05,-6.000000035762786954e-01
1.559871423254834393e-08,-7.177779095707326250e-05,-6.000000035762786954e-01
1.591366112395017646e-08,-7.470054570832419100e-05,-6.000000035762786954e-01
1.623286623087698884e-08,-7.772166134891913397e-05,-6.000000035762786954e-01
1.655635928474765957e-08,-8.084375948824541812e-05,-6.000000035762786954e-01
1.688417006538391789e-08,-8.406951337537692910e-05,-6.000000035762786954e-01
1.721632838465921977e-08,-8.740164838409511115e-05,-6.000000035762786954e-01
1.755286410148784292e-08,-9.084294280470596428e-05,-6.000000035762786954e-01
1.789380710890255220e-08,-9.439622836251831668e-05,-6.000000035762786954e-01
1.823918734758002164e-08,-9.806439100637186755e-05,-6.000000035762786954e-01
1.858903479412467481e-08,-1.018503714402845179e-04,-6.000000035762786954e-01
1.894337947197846910e-08,-1.057571658947732170e-04,-6.000000035762786954e-01
1.930225144417707000e-08,-1.097878267077848682e-04,-6.000000035762786954e-01
1.966568082023453486e-08,-1.139454630619557581e-04,-6.000000035762786954e-01
2.003369775021408231e-08,-1.182332415820837150e-04,-6.000000035762786954e-01
2.040633243182284019e-08,-1.226543870826628875e-04,-6.000000035762786954e-01
2.078361510561425093e-08,-1.272121831819144082e-04,-6.000000035762786954e-01
2.116557605955527322e-08,-1.319099730271927411e-04,-6.000000035762786954e-01
2.155224562620745637e-08,-1.367511599353452467e-04,-6.000000035762786954e-01
2.194365418669783074e-08,-1.417392081183929003e-04,-6.000000035762786954e-01
2.233983216793386344e-08,-1.468776433275732979e-04,-6.000000035762786954e-01
2.274081004693349070e-08,-1.521700535902814112e-04,-6.000000035762786954e-01
2.314661834667804466e-08,-1.576200898397379967e-04,-6.000000035762786954e-01
2.355728764200082630e-08,-1.632314666786096929e-04,-6.000000035762786954e-01
2.397284855642259046e-08,-1.690079630255760760e-04,-6.000000035762786954e-01
2.439333176410310965e-08,-1.749534228319504054e-04,-6.000000035762786954e-01
2.481876799058656312e-08,-1.810717557846184167e-04,-6.000000035762786954e-01
2.524918801315390255e-08,-1.873669380060918616e-04,-6.000000035762786954e-01
2.568462266158179352e-08,-1.938430127620099756e-04,-6.000000035762786954e-01
2.612510281885412327e-08,-2.005040911705087815e-04,-6.000000035762786954e-01
2.657065942177864060e-08,-2.073543529122324038e-04,-6.000000035762786954e-01
2.702132346146129439e-08,-2.143980469401208741e-04,-6.000000035762786954e-01
2.747712598431589683e-08,-2.216394921994924367e-04,-6.000000035762786954e-01
2.793809809283661749e-08,-2.290830783470665887e-04,-6.000000035762786954e-01
2.840427094548278681e-08,-2.367332664568108918e-04,-6.000000035762786954e-01
2.887567575830519940e-08,-2.445945897563897705e-04,-6.000000035762786954e-01
2.935234380529847973e-08,-2.526716543447159917e-04,-6.000000035762786954e-01
2.983430641919390496e-08,-2.609691399183348948e-04,-6.000000035762786954e-01
3.032159499186598073e-08,-2.694918004935908050e-04,-6.000000035762786954e-01
3.081424097489487111e-08,-2.782444651320589279e-04,-6.000000035762786954e-01
3.131227588220236507e-08,-2.872320387054332308e-04,-6.000000035762786954e-01
3.181573128745656754e-08,-2.964595025686838823e-04,-6.000000035762786954e-01
3.232463882722286198e-08,-3.059319153367870609e-04,-6.000000035762786954e-01
3.283903020203456005e-08,-3.156544136273473360e-04,-6.000000035762786954e-01
3.335893717503764884e-08,-3.256322127590765398e-04,-6.000000035762786954e-01
3.388439157459965240e-08,-3.358706075248775675e-04,-6.000000035762786954e-01
3.441542529426219786e-08,-3.463749729171168123e-04,-6.000000035762786954e-01
3.495207029404205808e-08,-3.571507648803363489e-04,-6.000000035762786954e-01
3.549435860001102323e-08,-3.682035210302191303e-04,-6.000000035762786954e-01
3.604232230718936543e-08,-3.795388614412814913e-04,-6.000000035762786954e-01
3.659599357819736222e-08,-3.911624893491477575e-04,-6.000000035762786954e-01
3.715540464558633130e-08,-4.030801919299577631e-04,-6.000000035762786954e-01
3.772058781195382696e-08,-4.152978410345038859e-04,-6.000000035762786954e-01
3.829157545024857194e-08,-4.278213939266669436e-04,-6.000000035762786954e-01
3.886840000612859719e-08,-4.406568940681233459e-04,-6.000000035762786954e-01
3.945109399810354340e-08,-4.538104718560654715e-04,-6.000000035762786954e-01
4.003969001676216692e-08,-4.672883453393614391e-04,-6.000000035762786954e-01
4.063422072886520298e-08,-4.810968210467225022e-04,-6.000000035762786954e-01
4.123471887488558201e-08,-4.952422946657575190e-04,-6.000000035762786954e-01
4.184121727266083574e-08,-5.097312518638387338e-04,-6.000000035762786954e-01
4.245374881672224704e-08,-5.245702690094929859e-04,-6.000000035762786954e-01
4.307234647855912426e-08,-5.397660139142425968e-04,-6.000000035762786954e-01
4.369704330997305165e-08,-5.553252466512049535e-04,-6.000000035762786954e-01
4.432787244160744022e-08,-5.712548202566955632e-04,-6.000000035762786954e-01
4.496486708496007798e-08,-5.875616815171406894e-04,-6.000000035762786954e-01
4.560806053242378753e-08,-6.042528717072377523e-04,-6.000000035762786954e-01
4.625748616005114161e-08,-6.213355273976316293e-04,-6.000000035762786954e-01
4.691317742701913828e-08,-6.388168811801928906e-04,-6.000000035762786954e-01
4.757516787577150243e-08,-6.567042624062926917e-04,-6.000000035762786954e-01
4.824349113609122022e-08,-6.750050980339961830e-04,-6.000000035762786954e-01
4.891818092245101999e-08,-6.937269132928908363e-04,-6.000000035762786954e-01
4.959927103713045356e-08,-7.128773325047948551e-04,-6.000000035762786954e-01
5.028679537079187856e-08,-7.324640798359040002e-04,-6.000000035762786954e-01
5.098078790351722681e-08,-7.524949800617843684e-04,-6.000000035762786954e-01
5.168128270577701001e-08,-7.729779593294388001e-04,-6.000000035762786954e-01
5.238831393857262125e-08,-7.939210458957879878e-04,-6.000000035762786954e-01
5.310191585616716925e-08,-8.153323709399628747e-04,-6.000000035762786954e-01
5.382212280615324097e-08,-8.372201692995989274e-04,-6.000000035762786954e-01
5.454896922977816231e-08,-8.595927802116697450e-04,-6.000000035762786954e-01
5.528248966437667670e-08,-8.824586481165801796e-04,-6.000000035762786954e-01
5.602271874385883607e-08,-9.058263234041367875e-04,-6.000000035762786954e-01
5.676969119996360964e-08,-9.297044631814204655e-04,-6.000000035762786954e-01
5.752344186271289355e-08,-9.541018320151968156e-04,-6.000000035762786954e-01
5.828400566169900099e-08,-9.790273026980946067e-04,-6.000000035762786954e-01
5.905141762883582513e-08,-1.004489857064513880e-03,-6.000000035762786954e-01
5.982571289582451664e-08,-1.030498586630185969e-03,-6.000000035762786954e-01
6.060692669996074148e-08,-1.057062693508052957e-03,-6.000000035762786954e-01
6.139509438164101598e-08,-1.084191491045551851e-03,-6.000000035762786954e-01
6.219025138636848082e-08,-1.111894404611506182e-03,-6.000000035762786954e-01
6.299243326728044736e-08,-1.140180972400799174e-03,-6.000000035762786954e-01
6.380167568447754753e-08,-1.169060846126562022e-03,-6.000000035762786954e-01
6.461801440822213024e-08,-1.198543791848326540e-03,-6.000000035762786954e-01
6.544148531777274408e-08,-1.228639690641173277e-03,-6.000000035762786954e-01
6.627212440404043258e-08,-1.259358539401578660e-03,-6.000000035762786954e-01
6.710996777089655316e-08,-1.290710451603105857e-03,-6.000000035762786954e-01
6.795505163708368337e-08,-1.322705658074571806e-03,-6.000000035762786954e-01
6.880741233451477881e-08,-1.355354507638729467e-03,-6.000000035762786954e-01
6.966708631200689431e-08,-1.388667467953298620e-03,-6.000000035762786954e-01
7.053411013744281203e-08,-1.422655126294541331e-03,-6.000000035762786954e-01
7.140852049630059227e-08,-1.457328190196052840e-03,-6.000000035762786954e-01
7.229035419438440769e-08,-1.492697488248891915e-03,-6.000000035762786954e-01
7.317964815993196126e-08,-1.528773970876023437e-03,-6.000000035762786954e-01
7.407643944305883268e-08,-1.565568710998950074e-03,-6.000000035762786954e-01
7.498076521835378731e-08,-1.603092904826228455e-03,-6.000000035762786954e-01
7.589266278704718052e-08,-1.641357872627447053e-03,-6.000000035762786954e-01
7.681216957541853576e-08,-1.680375059344382284e-03,-6.000000035762786954e-01
7.773932314010913516e-08,-1.720156035490487314e-03,-6.000000035762786954e-01
7.867416116514723990e-08,-1.760712497697092304e-03,-6.000000035762786954e-01
7.961672146822968647e-08,-1.802056269652408489e-03,-6.000000035762786954e-01
8.056704199782164589e-08,-1.844199302643371226e-03,-6.000000035762786954e-01
8.152516083622627112e-08,-1.887153676349246712e-03,-6.000000035762786954e-01
8.249111620347427233e-08,-1.930931599676373542e-03,-6.000000035762786954e-01
8.346494645317006737e-08,-1.975545411225568346e-03,-6.000000035762786954e-01
8.444669008008797318e-08,-2.021007580287067975e-03,-6.000000035762786954e-01
8.543638571681795536e-08,-2.067330707335556048e-03,-6.000000035762786954e-01
8.643407213970841132e-08,-2.114527524947903882e-03,-6.000000035762786954e-01
8.743978826565422134e-08,-2.162610898293661384e-03,-6.000000035762786954e-01
8.845357315627770320e-08,-2.211593825963547970e-03,-6.000000035762786954e-01
8.947546602133029650e-08,-2.261489440767584964e-03,-6.000000035762786954e-01
9.050550621638863303e-08,-2.312311010248456217e-03,-6.000000035762786954e-01
9.154373324574122507e-08,-2.364071937443360926e-03,-6.000000035762786954e-01
9.259018676610185784e-08,-2.416785761684083281e-03,-6.000000035762786954e-01
9.364490658599972572e-08,-2.470466159181108120e-03,-6.000000035762786954e-01
9.470793266701948857e-08,-2.525126943691585312e-03,-6.000000035762786954e-01
9.577930512786025355e-08,-2.580782067328786858e-03,-6.000000035762786954e-01
9.685906424434912766e-08,-2.637445621161078717e-03,-6.000000035762786954e-01
