time_since_step,delta,target
2.285015029063804798e-07,-2.031520823674021203e-01,-6.000000035762786954e-01
2.344164164311813539e-07,-2.077621642342037944e-01,-6.000000035762786954e-01
2.403642784255303707e-07,-2.123661830596388356e-01,-6.000000035762786954e-01
2.463430852251100056e-07,-2.169621823829000484e-01,-6.000000035762786954e-01
2.523535035386061305e-07,-2.215502812853505643e-01,-6.000000035762786954e-01
2.583938934555890716e-07,-2.261288437554659358e-01,-6.000000035762786954e-01
2.644646916155325928e-07,-2.306978278083957334e-01,-6.000000035762786954e-01
2.705645470885910029e-07,-2.352558527367250019e-01,-6.000000035762786954e-01
2.766937240368018153e-07,-2.398027624257339230e-01,-6.000000035762786954e-01
2.828511018943802280e-07,-2.443373807633439088e-01,-6.000000035762786954e-01
2.890368166157521266e-07,-2.488594728533312372e-01,-6.000000035762786954e-01
2.952499319995108566e-07,-2.533680276349596916e-01,-6.000000035762786954e-01
3.014904897585460710e-07,-2.578627579403039438e-01,-6.000000035762786954e-01
3.077577018970430655e-07,-2.623427868432621213e-01,-6.000000035762786954e-01
3.140515418543051102e-07,-2.668077946582281812e-01,-6.000000035762786954e-01
3.203713414144562354e-07,-2.712570143864528327e-01,-6.000000035762786954e-01
3.267170255505638036e-07,-2.756901084542306424e-01,-6.000000035762786954e-01
3.330880233770309898e-07,-2.801064007304224224e-01,-6.000000035762786954e-01
3.394842264662679705e-07,-2.845055465032766406e-01,-6.000000035762786954e-01
3.459051435395177039e-07,-2.888869454774174450e-01,-6.000000035762786954e-01
3.523506441673469316e-07,-2.932502536075427546e-01,-6.000000035762786954e-01
3.588203026175251515e-07,-2.975949345036049687e-01,-6.000000035762786954e-01
3.653139750310336990e-07,-3.019206503655226248e-01,-6.000000035762786954e-01
3.718312900797754515e-07,-3.062269192218910474e-01,-6.000000035762786954e-01
3.783720968705093645e-07,-3.105134134191678275e-01,-6.000000035762786954e-01
3.849360695852766705e-07,-3.147796977937897811e-01,-6.000000035762786954e-01
3.915230550539372241e-07,-3.190254575045770036e-01,-6.000000035762786954e-01
3.981327658410577686e-07,-3.232502980499235568e-01,-6.000000035762786954e-01
4.047650499747719520e-07,-3.274539191274630223e-01,-6.000000035762786954e-01
4.114196527036460675e-07,-3.316359619237359002e-01,-6.000000035762786954e-01
4.180964257635683525e-07,-3.357961417139587734e-01,-6.000000035762786954e-01
4.247951424505885983e-07,-3.399341312780652102e-01,-6.000000035762786954e-01
4.315156600072917576e-07,-3.440496620177233567e-01,-6.000000035762786954e-01
4.382577760426293028e-07,-3.481424349439348753e-01,-6.000000035762786954e-01
4.450213545202842029e-07,-3.522121977485318522e-01,-6.000000035762786954e-01
4.518062142967990192e-07,-3.562586768629659728e-01,-6.000000035762786954e-01
4.586122268824120610e-07,-3.602816361881749918e-01,-6.000000035762786954e-01
4.654392298714509217e-07,-3.642808252186315876e-01,-6.000000035762786954e-01
4.722871028175448967e-07,-3.682560237887225751e-01,-6.000000035762786954e-01
4.791556999863918098e-07,-3.722070024609736572e-01,-6.000000035762786954e-01
4.860449092482105608e-07,-3.761335566058180979e-01,-6.000000035762786954e-01
4.929545998064841406e-07,-3.800354761375276946e-01,-6.000000035762786954e-01
4.998846679471848943e-07,-3.839125714797901878e-01,-6.000000035762786954e-01
5.068349963964938567e-07,-3.877646504369817171e-01,-6.000000035762786954e-01
5.138054898101801992e-07,-3.915915379395308316e-01,-6.000000035762786954e-01
5.207960432301823655e-07,-3.953930583995025616e-01,-6.000000035762786954e-01
5.278065695804156233e-07,-3.991690506975644759e-01,-6.000000035762786954e-01
5.348369751927443874e-07,-4.029193547251830321e-01,-6.000000035762786954e-01
5.418871810902503366e-07,-4.066438227415941631e-01,-6.000000035762786954e-01
5.489571040048039376e-07,-4.103423091109342780e-01,-6.000000035762786954e-01
5.560466728619790065e-07,-4.140146789068007149e-01,-6.000000035762786954e-01
5.631558140438449440e-07,-4.176608000758871286e-01,-6.000000035762786954e-01
5.702844641501279496e-07,-4.212805499472088711e-01,-6.000000035762786954e-01
5.774325585528375642e-07,-4.248738092439739988e-01,-6.000000035762786954e-01
5.846000412932232421e-07,-4.284404670112254010e-01,-6.000000035762786954e-01
5.917868561622531423e-07,-4.319804160217765032e-01,-6.000000035762786954e-01
5.989929543944515580e-07,-4.354935565105029216e-01,-6.000000035762786954e-01
6.062182877125522440e-07,-4.389797926447701615e-01,-6.000000035762786954e-01
6.134628142907933251e-07,-4.424390353410130317e-01,-6.000000035762786954e-01
6.207264933521684639e-07,-4.458711995602694378e-01,-6.000000035762786954e-01
6.280092897814496065e-07,-4.492762064236086039e-01,-6.000000035762786954e-01
6.353111699154874448e-07,-4.526539811308319949e-01,-6.000000035762786954e-01
6.426321051146682405e-07,-4.560044545464898569e-01,-6.000000035762786954e-01
6.499720684943288782e-07,-4.593275616005451645e-01,-6.000000035762786954e-01
6.573310376782780175e-07,-4.626232424680048472e-01,-6.000000035762786954e-01
6.647089922499452058e-07,-4.658914413321668668e-01,-6.000000035762786954e-01
6.721059159035260803e-07,-4.691321072705308404e-01,-6.000000035762786954e-01
6.795217944249878580e-07,-4.723451932816674637e-01,-6.000000035762786954e-01
6.869566173610427268e-07,-4.755306569423246033e-01,-6.000000035762786954e-01
6.944103764967247071e-07,-4.786884596722877361e-01,-6.000000035762786954e-01
7.018830670514543835e-07,-4.818185671757080901e-01,-6.000000035762786954e-01
7.093746865714789518e-07,-4.849209489000405604e-01,-6.000000035762786954e-01
7.168852358015910943e-07,-4.879955783326357377e-01,-6.000000035762786954e-01
7.244147178554771489e-07,-4.910424325885051067e-01,-6.000000035762786954e-01
7.319631388687795111e-07,-4.940614926115594607e-01,-6.000000035762786954e-01
7.395305073418668301e-07,-4.970527428430177030e-01,-6.000000035762786954e-01
7.471168346580826466e-07,-5.000161713651436468e-01,-6.000000035762786954e-01
7.547221345722188082e-07,-5.029517696358659640e-01,-6.000000035762786954e-01
7.623464235855681058e-07,-5.058595325741709336e-01,-6.000000035762786954e-01
7.699897205679849489e-07,-5.087394583535925774e-01,-6.000000035762786954e-01
7.776520470499694308e-07,-5.115915484544587555e-01,-6.000000035762786954e-01
7.853334268835017841e-07,-5.144158074779555667e-01,-6.000000035762786954e-01
7.930338865136892347e-07,-5.172122431903636297e-01,-6.000000035762786954e-01
8.007534547087386749e-07,-5.199808663673722853e-01,-6.000000035762786954e-01
8.084921627379013445e-07,-5.227216908038356813e-01,-6.000000035762786954e-01
8.162500441700755015e-07,-5.254347331874458238e-01,-6.000000035762786954e-01
8.240271350391472531e-07,-5.281200131041067225e-01,-6.000000035762786954e-01
8.318234736529880142e-07,-5.307775529187521713e-01,-6.000000035762786954e-01
8.396391007259372367e-07,-5.334073777698837837e-01,-6.000000035762786954e-01
8.474740592532653506e-07,-5.360095154760039504e-01,-6.000000035762786954e-01
8.553283945808811870e-07,-5.385839965094502135e-01,-6.000000035762786954e-01
8.632021543263071928e-07,-5.411308539211716617e-01,-6.000000035762786954e-01
8.710953884257812384e-07,-5.436501233080677231e-01,-6.000000035762786954e-01
8.790081490846543685e-07,-5.461418427494182382e-01,-6.000000035762786954e-01
8.869404908037098099e-07,-5.486060527685663324e-01,-6.000000035762786954e-01
8.948924703395082767e-07,-5.510427962744133268e-01,-6.000000035762786954e-01
9.028641467209559354e-07,-5.534521185213530092e-01,-6.000000035762786954e-01
9.108555812429550451e-07,-5.558340670625759872e-01,-6.000000035762786954e-01
9.188668374512725615e-07,-5.581886917015432825e-01,-6.000000035762786954e-01
9.268979811709259051e-07,-5.605160444569394773e-01,-6.000000035762786954e-01
9.349490804640549300e-07,-5.628161795075087293e-01,-6.000000035762786954e-01
9.430202056572912529e-07,-5.650891531579511629e-01,-6.000000035762786954e-01
9.511114293502895690e-07,-5.673350237995481438e-01,-6.000000035762786954e-01
9.592228263916990211e-07,-5.695538518623467494e-01,-6.000000035762786954e-01
9.673544739105305237e-07,-5.717456997833564314e-01,-6.000000035762786954e-01
9.755064513018859521e-07,-5.739106319625699726e-01,-6.000000035762786954e-01
9.836788402433973579e-07,-5.760487147279311770e-01,-6.000000035762786954e-01
9.918717246886946505e-07,-5.781600162946500809e-01,-6.000000035762786954e-01
1.000085190916289563e-06,-5.802446067392700302e-01,-6.000000035762786954e-01
1.008319327468060731e-06,-5.823025579458509515e-01,-6.000000035762786954e-01
1.016574225234993757e-06,-5.843339435901769852e-01,-6.000000035762786954e-01
1.024849977411326231e-06,-5.863388390910152514e-01,-6.000000035762786954e-01
1.033146679547199305e-06,-5.883173215863810590e-01,-6.000000035762786954e-01
1.041464429526580619e-06,-5.902694698918720118e-01,-6.000000035762786954e-01
1.049803327623317559e-06,-5.921953644780802994e-01,-6.000000035762786954e-01
1.058163476468157178e-06,-5.940950874273455140e-01,-6.000000035762786954e-01
1.066544981114652139e-06,-5.959687224138670025e-01,-6.000000035762786954e-01
1.074947949014955900e-06,-5.978163546633920022e-01,-6.000000035762786954e-01
1.083372490063245011e-06,-5.996380709286422972e-01,-6.000000035762786954e-01
1.091818716609935713e-06,-6.014339594583472115e-01,-6.000000035762786954e-01
1.100286743495273881e-06,-6.032041099706934029e-01,-6.000000035762786954e-01
1.108776688025218298e-06,-6.049486136150343807e-01,-6.000000035762786954e-01
1.117288670072129158e-06,-6.066675629598198283e-01,-6.000000035762786954e-01
1.125822812006551418e-06,-6.083610519459227151e-01,-6.000000035762786954e-01
1.134379238813583576e-06,-6.100291758778089157e-01,-6.000000035762786954e-01
1.142958078043695546e-06,-6.116720313816232935e-01,-6.000000035762786954e-01
1.151559459901382518e-06,-6.132897163907489180e-01,-6.000000035762786954e-01
1.160183517224775177e-06,-6.148823301103732986e-01,-6.000000035762786954e-01
1.168830385547283378e-06,-6.164499729979898701e-01,-6.000000035762786954e-01
1.177500203131558773e-06,-6.179927467385669670e-01,-6.000000035762786954e-01
1.186193110951693571e-06,-6.195107542108974075e-01,-6.000000035762786954e-01
1.194909252813777041e-06,-6.210040994785867019e-01,-6.000000035762786954e-01
1.203648775299530555e-06,-6.224728877500472768e-01,-6.000000035762786954e-01
1.212411827885163246e-06,-6.239172253690363767e-01,-6.000000035762786954e-01
1.221198562893077580e-06,-6.253372197769807572e-01,-6.000000035762786954e-01
1.230009135628587253e-06,-6.267329795061159503e-01,-6.000000035762786954e-01
1.238843704325720628e-06,-6.281046141415367323e-01,-6.000000035762786954e-01
1.247702430278720912e-06,-6.294522343131270237e-01,-6.000000035762786954e-01
1.256585477778254410e-06,-6.307759516571089797e-01,-6.000000035762786954e-01
1.265493014291218675e-06,-6.320758788148661544e-01,-6.000000035762786954e-01
1.274425210361639657e-06,-6.333521293899421201e-01,-6.000000035762786954e-01
1.283382239799058606e-06,-6.346048179475605178e-01,-6.000000035762786954e-01
1.292364279591551952e-06,-6.358340599743974586e-01,-6.000000035762786954e-01
1.301371510090669091e-06,-6.370399718768855468e-01,-6.000000035762786954e-01
1.310404114943114094e-06,-6.382226709444033252e-01,-6.000000035762786954e-01
1.319462281251824272e-06,-6.393822753437001793e-01,-6.000000035762786954e-01
1.328546199531707619e-06,-6.405189040861045680e-01,-6.000000035762786954e-01
1.337656063867096075e-06,-6.416326770208939934e-01,-6.000000035762786954e-01
1.346792071879998728e-06,-6.427237148046698323e-01,-6.000000035762786954e-01
1.355954424861086994e-06,-6.437921388910696763e-01,-6.000000035762786954e-01
1.365143327790036953e-06,-6.448380715068962044e-01,-6.000000035762786954e-01
1.374358989441862484e-06,-6.458616356384254686e-01,-6.000000035762786954e-01
1.383601622400908247e-06,-6.468629550071791634e-01,-6.000000035762786954e-01
1.392871443186684895e-06,-6.478421540582511851e-01,-6.000000035762786954e-01
1.402168672284355487e-06,-6.487993579380356701e-01,-6.000000035762786954e-01
1.411493534256259234e-06,-6.497346924806480795e-01,-6.000000035762786954e-01
1.420846257763310936e-06,-6.506482841850594889e-01,-6.000000035762786954e-01
1.430227075736027103e-06,-6.515402602071201921e-01,-6.000000035762786954e-01
1.439636225331659307e-06,-6.524107483306240685e-01,-6.000000035762786954e-01
1.449073948143465536e-06,-6.532598769626287716e-01,-6.000000035762786954e-01
1.458540490201970573e-06,-6.540877751089060332e-01,-6.000000035762786954e-01
1.468036102122573347e-06,-6.548945723629118199e-01,-6.000000035762786954e-01
1.477561039114999824e-06,-6.556803988826199747e-01,-6.000000035762786954e-01
1.487115561201397048e-06,-6.564453853849829823e-01,-6.000000035762786954e-01
1.496699933203275278e-06,-6.571896631208852257e-01,-6.000000035762786954e-01
1.506314424904517792e-06,-6.579133638646993409e-01,-6.000000035762786954e-01
1.515959311146133372e-06,-6.586166198980072384e-01,-6.000000035762786954e-01
1.525634871906751547e-06,-6.592995639924158491e-01,-6.000000035762786954e-01
1.535341392456043971e-06,-6.599623293975858118e-01,-6.000000035762786954e-01
1.545079163448894160e-06,-6.606050498247717506e-01,-6.000000035762786954e-01
1.554848481036399466e-06,-6.612278594316325364e-01,-6.000000035762786954e-01
1.564649647022938090e-06,-6.618308928098554089e-01,-6.000000035762786954e-01
1.574482968933945271e-06,-6.624142849670453526e-01,-6.000000035762786954e-01
1.584348760218184753e-06,-6.629781713168496626e-01,-6.000000035762786954e-01
1.594247340329517956e-06,-6.635226876615663016e-01,-6.000000035762786954e-01
1.604179034903296898e-06,-6.640479701802630697e-01,-6.000000035762786954e-01
1.614144175860698319e-06,-6.645541554127496475e-01,-6.000000035762786954e-01
1.624143101612987377e-06,-6.650413802487276094e-01,-6.000000035762786954e-01
1.634143101612988975e-06,-6.655082718390948893e-01,-6.000000035762786954e-01
1.644143101612990574e-06,-6.659551034086306220e-01,-6.000000035762786954e-01
1.654143101612992172e-06,-6.663821984819132682e-01,-6.000000035762786954e-01
1.664143101612993770e-06,-6.667898774340962342e-01,-6.000000035762786954e-01
1.674143101612995369e-06,-6.671784575003977258e-01,-6.000000035762786954e-01
1.684143101612996967e-06,-6.675482527859200044e-01,-6.000000035762786954e-01
1.694143101612998565e-06,-6.678995742757927179e-01,-6.000000035762786954e-01
1.704143101613000164e-06,-6.682327298456277598e-01,-6.000000035762786954e-01
1.714143101613001762e-06,-6.685480242722818822e-01,-6.000000035762786954e-01
1.724143101613003360e-06,-6.688457592449179590e-01,-6.000000035762786954e-01
1.734143101613004959e-06,-6.691262333763562387e-01,-6.000000035762786954e-01
1.744143101613006557e-06,-6.693897422147082610e-01,-6.000000035762786954e-01
1.754143101613008155e-06,-6.696365782552867740e-01,-6.000000035762786954e-01
1.764143101613009754e-06,-6.698670309527842148e-01,-6.000000035762786954e-01
1.774143101613011352e-06,-6.700813867337104268e-01,-6.000000035762786954e-01
1.784143101613012950e-06,-6.702799290090855067e-01,-6.000000035762786954e-01
1.794143101613014549e-06,-6.704629381873783434e-01,-6.000000035762786954e-01
1.804143101613016147e-06,-6.706306916876838553e-01,-6.000000035762786954e-01
1.814143101613017745e-06,-6.707834639531340404e-01,-6.000000035762786954e-01
1.824143101613019344e-06,-6.709215264645335131e-01,-6.000000035762786954e-01
1.834143101613020942e-06,-6.710451477542149767e-01,-6.000000035762786954e-01
1.844143101613022540e-06,-6.711545934201064156e-01,-6.000000035762786954e-01
1.854143101613024138e-06,-6.712501261400034558e-01,-6.000000035762786954e-01
1.864143101613025737e-06,-6.713320056860428986e-01,-6.000000035762786954e-01
1.874143101613027335e-06,-6.714004889393671016e-01,-6.000000035762786954e-01
1.884143101613028933e-06,-6.714558299049763201e-01,-6.000000035762786954e-01
1.894143101613030532e-06,-6.714982797267626813e-01,-6.000000035762786954e-01
1.904143101613032130e-06,-6.715280867027156875e-01,-6.000000035762786954e-01
1.914143101613033728e-06,-6.715454963002995825e-01,-6.000000035762786954e-01
1.924143101613035327e-06,-6.715507511719917000e-01,-6.000000035762786954e-01
1.934143101613036925e-06,-6.715440911709774641e-01,-6.000000035762786954e-01
1.944143101613038523e-06,-6.715257533669978240e-01,-6.000000035762786954e-01
1.954143101613040122e-06,-6.714959720623416839e-01,-6.000000035762786954e-01
1.964143101613041720e-06,-6.714549788079782200e-01,-6.000000035762786954e-01
1.974143101613043318e-06,-6.714030024198243130e-01,-6.000000035762786954e-01
1.984143101613044917e-06,-6.713402689951405433e-01,-6.000000035762786954e-01
1.994143101613046515e-06,-6.712670019290521983e-01,-6.000000035762786954e-01
2.004143101613048113e-06,-6.711834219311887395e-01,-6.000000035762786954e-01
2.014143101613049712e-06,-6.710897470424366240e-01,-6.000000035762786954e-01
2.024143101613051310e-06,-6.709861926518014830e-01,-6.000000035762786954e-01
2.034143101613052908e-06,-6.708729715133733285e-01,-6.000000035762786954e-01
2.044143101613054507e-06,-6.707502937633914586e-01,-6.000000035762786954e-01
2.054143101613056105e-06,-6.706183669374036205e-01,-6.000000035762786954e-01
2.064143101613057703e-06,-6.704773959875136580e-01,-6.000000035762786954e-01
2.074143101613059302e-06,-6.703275832997148687e-01,-6.000000035762786954e-01
2.084143101613060900e-06,-6.701691287113036299e-01,-6.000000035762786954e-01
2.094143101613062498e-06,-6.700022295283681872e-01,-6.000000035762786954e-01
2.104143101613064097e-06,-6.698270805433500508e-01,-6.000000035762786954e-01
2.114143101613065695e-06,-6.696438740526707845e-01,-6.000000035762786954e-01
2.124143101613067293e-06,-6.694527998744236319e-01,-6.000000035762786954e-01
2.134143101613068891e-06,-6.692540453661232069e-01,-6.000000035762786954e-01
2.144143101613070490e-06,-6.690477954425089191e-01,-6.000000035762786954e-01
2.154143101613072088e-06,-6.688342325933998023e-01,-6.000000035762786954e-01
2.164143101613073686e-06,-6.686135369015961949e-01,-6.000000035762786954e-01
2.174143101613075285e-06,-6.683858860608241637e-01,-6.000000035762786954e-01
2.184143101613076883e-06,-6.681514553937182299e-01,-6.000000035762786954e-01
2.194143101613078481e-06,-6.679104178698398453e-01,-6.000000035762786954e-01
2.204143101613080080e-06,-6.676629441237278417e-01,-6.000000035762786954e-01
2.214143101613081678e-06,-6.674092024729757489e-01,-6.000000035762786954e-01
2.224143101613083276e-06,-6.671493589363348686e-01,-6.000000035762786954e-01
2.234143101613084875e-06,-6.668835772518371119e-01,-6.000000035762786954e-01
2.244143101613086473e-06,-6.666120188949358205e-01,-6.000000035762786954e-01
2.254143101613088071e-06,-6.663348430966617997e-01,-6.000000035762786954e-01
2.264143101613089670e-06,-6.660522068617884539e-01,-6.000000035762786954e-01
