 time                     v(lower)                 v(upper)                 v(unit)                  v(dl)                    v(ratio)                 v(core)
 7.38820270959304333e-09  3.62665539298470327e-02  3.62743330177331402e-02  1.00000000000000000e+00  2.20386471850442747e-16  1.00000777908753480e+00  3.44353862266316883e-12
 7.70364878970779158e-09  3.77853867616316300e-02  3.77941858018245522e-02  1.00000000000000000e+00  2.82005276834611883e-16  1.00000879903983253e+00  4.40633245054081301e-12
 8.02392683595805349e-09  3.93250360130018989e-02  3.93349566287547747e-02  1.00000000000000000e+00  3.58603570511050371e-16  1.00000992061538518e+00  5.60318078923516644e-12
 8.34893313042082206e-09  4.08848966542180586e-02  4.08960472941814271e-02  1.00000000000000000e+00  4.53284727996140634e-16  1.00001115063959034e+00  7.08257387493970386e-12
 8.67869280154383088e-09  4.24649824827771916e-02  4.24774791694633030e-02  1.00000000000000000e+00  5.69733645243764552e-16  1.00001249668631043e+00  8.90208820693382842e-12
 9.01312612707342776e-09  4.40648040885830705e-02  4.40787702992729152e-02  1.00000000000000000e+00  7.12229619650221449e-16  1.00001396621031469e+00  1.11285878070347190e-11
 9.35224590428043362e-09  4.56843148554737857e-02  4.56998822031554827e-02  1.00000000000000000e+00  8.85803965128293921e-16  1.00001556734731167e+00  1.38406869551296005e-11
 9.69599035091188292e-09  4.73231113027398620e-02  4.73404194972279965e-02  1.00000000000000000e+00  1.09626939636397351e-15  1.00001730819412837e+00  1.71292093181870996e-11
 1.00443642141276070e-08  4.89811071636857415e-02  4.90003046355135252e-02  1.00000000000000000e+00  1.35040144135083472e-15  1.00001919747148471e+00  2.11000225211068093e-11
 1.03973192660171221e-08  5.06579634137918969e-02  5.06792073453034148e-02  1.00000000000000000e+00  1.65598911533341115e-15  1.00002124393119329e+00  2.58748299270845685e-11
 1.07548552088312759e-08  5.23535686372233189e-02  5.23770255391652270e-02  1.00000000000000000e+00  2.02204293434729124e-15  1.00002345690165817e+00  3.15944208491764467e-11
 1.11169341867786529e-08  5.40676326991622602e-02  5.40934785024018636e-02  1.00000000000000000e+00  2.45887216431464560e-15  1.00002584580300202e+00  3.84198775674163559e-11
 1.14835529523984096e-08  5.58000290828618503e-02  5.58284496764544710e-02  1.00000000000000000e+00  2.97832281698453357e-15  1.00002842059341535e+00  4.65362940153833635e-11
 1.18546817051724484e-08  5.75505052137255876e-02  5.75816965889537902e-02  1.00000000000000000e+00  3.59388728382902533e-15  1.00003119137512875e+00  5.61544888098285676e-11
 1.22303157047676183e-08  5.93189264066964622e-02  5.93530951643870125e-02  1.00000000000000000e+00  4.32097637131324684e-15  1.00003416875768947e+00  6.75152558017695441e-11
 1.26104315084811741e-08  6.11050693434165154e-02  6.11424328830017100e-02  1.00000000000000000e+00  5.17706766618930165e-15  1.00003736353970707e+00  8.08916822842079296e-11
 1.29950238883058293e-08  6.29087959054656920e-02  6.29495829083447644e-02  1.00000000000000000e+00  6.18201645032273174e-15  1.00004078700315313e+00  9.65940070362928004e-11
 1.33840745111499975e-08  6.47299059152007528e-02  6.47743565725207027e-02  1.00000000000000000e+00  7.35824972145266138e-15  1.00004445065778103e+00  1.14972651897697957e-10
 1.37694602598155148e-08  6.65303717404128053e-02  6.65786552302958384e-02  1.00000000000000000e+00  8.70065043270921795e-15  1.00004828349056729e+00  1.35947663011081669e-10
 1.41516842406980705e-08  6.83126427116499818e-02  6.83649325647886219e-02  1.00000000000000000e+00  1.02265086468965124e-14  1.00005228985408690e+00  1.59789197607758153e-10
 1.45291235955416540e-08  7.00692641421664375e-02  7.01257150628800813e-02  1.00000000000000000e+00  1.19445223116124229e-14  1.00005645092197004e+00  1.86633161118944244e-10
 1.49022130726274786e-08  7.18023860232833849e-02  7.18631544627442581e-02  1.00000000000000000e+00  1.38711957430195476e-14  1.00006076844107450e+00  2.16737433484680564e-10
 1.52711301699699888e-08  7.35129497214801614e-02  7.35781913784860908e-02  1.00000000000000000e+00  1.60227173458876514e-14  1.00006524165903121e+00  2.50354958529494646e-10
 1.56362103327822805e-08  7.52026192161586865e-02  7.52724912326902251e-02  1.00000000000000000e+00  1.84170359427964069e-14  1.00006987201902864e+00  2.87766186606193975e-10
 1.59977445514394490e-08  7.68728404981645491e-02  7.69475013827106979e-02  1.00000000000000000e+00  2.10729685142579012e-14  1.00007466088758123e+00  3.29265133035279866e-10
 1.63559530509741674e-08  7.85247225289754242e-02  7.86043316085243138e-02  1.00000000000000000e+00  2.40099189728038898e-14  1.00007960908319471e+00  3.75154983950060857e-10
 1.67110290081101577e-08  8.01592414776351320e-02  8.02439588110970548e-02  1.00000000000000000e+00  2.72480925467381881e-14  1.00008471733779802e+00  4.25751446042784131e-10
 1.70631273953533522e-08  8.17771908001187764e-02  8.18671768619437246e-02  1.00000000000000000e+00  3.08083347601232581e-14  1.00008998606693833e+00  4.81380230626925912e-10
 1.74123883850173359e-08  8.33792902025532051e-02  8.34747058419347404e-02  1.00000000000000000e+00  3.47122830409384703e-14  1.00009541564536675e+00  5.42379422514663642e-10
 1.77589380402237456e-08  8.49661895211677037e-02  8.50671959028634489e-02  1.00000000000000000e+00  3.89823554581310468e-14  1.00010100638865596e+00  6.09099304033297801e-10
 1.81028937671248473e-08  8.65384942928860146e-02  8.66452529013820721e-02  1.00000000000000000e+00  4.36418015391974048e-14  1.00010675861654263e+00  6.81903149049959661e-10
 1.84443653530789774e-08  8.80967709248198505e-02  8.82094435720113673e-02  1.00000000000000000e+00  4.87147174332161727e-14  1.00011267265644532e+00  7.61167459894002828e-10
 1.87834558256739623e-08  8.96415509869517013e-02  8.97602998226706833e-02  1.00000000000000000e+00  5.42260616135771942e-14  1.00011874884631058e+00  8.47282212712143679e-10
 1.91202619863526177e-08  9.11733339753749150e-02  9.12983214967559020e-02  1.00000000000000000e+00  6.02016677390372910e-14  1.00012498753345103e+00  9.40651058422457612e-10
 1.94548747600466546e-08  9.26925892067674978e-02  9.28239782639419114e-02  1.00000000000000000e+00  6.66682548447193573e-14  1.00013138907087473e+00  1.04169148194873963e-09
 1.97274373800233292e-08  9.39282384112929691e-02  9.40649935209792315e-02  1.00000000000000000e+00  7.23495120819336576e-14  1.00013675512484213e+00  1.13046112628021315e-09
 2.00000000000000004e-08  9.51622046799551480e-02  9.53044635350459440e-02  1.00000000000000000e+00  7.84249146357316256e-14  1.00014225887182562e+00  1.22538929118330667e-09
 2.00030940914588332e-08  9.51762027178697373e-02  9.53185248501563498e-02  1.00000000000000000e+00  7.84961725003237718e-14  1.00014232214904020e+00  1.22650269531755936e-09
 2.00092822743764987e-08  9.52041982739740555e-02  9.53466470037111630e-02  1.00000000000000000e+00  7.86388170345429299e-14  1.00014244874652825e+00  1.22873151616473398e-09
 2.00216586402118329e-08  9.52601868915959604e-02  9.54028890229732807e-02  1.00000000000000000e+00  7.89247252591956815e-14  1.00014270214824363e+00  1.23319883217493349e-09
 2.00464113718825015e-08  9.53721538167085769e-02  9.55153636063954536e-02  1.00000000000000000e+00  7.94991088111631880e-14  1.00014320980670379e+00  1.24217357517442609e-09
 2.00959168352238354e-08  9.55960461671452322e-02  9.57402747197978465e-02  1.00000000000000000e+00  8.06582759910003103e-14  1.00014422856997398e+00  1.26028556235938139e-09
 2.01949277619065031e-08  9.60436647108072472e-02  9.61899446259165125e-02  1.00000000000000000e+00  8.30187952775591492e-14  1.00014627993305272e+00  1.29716867621186361e-09
 2.03929496152718418e-08  9.69382374375142991e-02  9.70886757048469301e-02  1.00000000000000000e+00  8.79129481348563654e-14  1.00015043828657624e+00  1.37363981460713277e-09
 2.06937677182026391e-08  9.82955036839626844e-02  9.84524019835748276e-02  1.00000000000000000e+00  9.58076862666895729e-14  1.00015689832098009e+00  1.49699509791702686e-09
 2.10070804883363480e-08  9.97069764416137205e-02  9.98707881407093351e-02  1.00000000000000000e+00  1.04649136848346740e-13  1.00016381172288016e+00  1.63514276325542006e-09
 2.13397031159525793e-08  1.01203022436093970e-01  1.01374382430044416e-01  1.00000000000000000e+00  1.14766327628205594e-13  1.00017136002054463e+00  1.79322386919071483e-09
 2.16678515514573374e-08  1.02676508702818622e-01  1.02855528464342247e-01  1.00000000000000000e+00  1.25528347115390052e-13  1.00017901979115487e+00  1.96138042367797206e-09
 2.19932663717391487e-08  1.04135334674786015e-01  1.04322161592274504e-01  1.00000000000000000e+00  1.37012208572446440e-13  1.00018682695041150e+00  2.14081575894447886e-09
 2.23145534392318777e-08  1.05573329253487960e-01  1.05768072818926015e-01  1.00000000000000000e+00  1.49189467268746477e-13  1.00019474360190452e+00  2.33108542607416708e-09
 2.26326161134836759e-08  1.06994618717364737e-01  1.07197405676274532e-01  1.00000000000000000e+00  1.62112611431758713e-13  1.00020278699919229e+00  2.53300955362123334e-09
 2.29484226021790622e-08  1.08403591673445113e-01  1.08614569991298593e-01  1.00000000000000000e+00  1.75846311413320066e-13  1.00021097836225015e+00  2.74759861583312932e-09
 2.32623892081044659e-08  1.09802152285464111e-01  1.10021478732066857e-01  1.00000000000000000e+00  1.90439783958859561e-13  1.00021932649543310e+00  2.97562162435718410e-09
 2.35749122288596958e-08  1.11192103766915087e-01  1.11419944380787436e-01  1.00000000000000000e+00  2.05946461563341901e-13  1.00022784066747938e+00  3.21791346192721979e-09
 2.38861006593917717e-08  1.12573963237037736e-01  1.12810486191023032e-01  1.00000000000000000e+00  2.22409612960499749e-13  1.00023652301273258e+00  3.47515020250781103e-09
 2.41960342167735897e-08  1.13948114873542700e-01  1.14193489858602754e-01  1.00000000000000000e+00  2.39872860284935228e-13  1.00024537504933275e+00  3.74801344195211418e-09
 2.45047379856681555e-08  1.15314698803283419e-01  1.15569095570577943e-01  1.00000000000000000e+00  2.58378222751513110e-13  1.00025439683749950e+00  4.03715973049239330e-09
 2.48122353138632076e-08  1.16673846610421156e-01  1.16937434933634371e-01  1.00000000000000000e+00  2.77968647636930635e-13  1.00026358839977925e+00  4.34326011932704253e-09
 2.51185504303280184e-08  1.18025692950965364e-01  1.18298642665807488e-01  1.00000000000000000e+00  2.98688179049512791e-13  1.00027294979822123e+00  4.66700279764863962e-09
 2.54237108166112660e-08  1.19370385974373480e-01  1.19652867097857066e-01  1.00000000000000000e+00  3.20582169801877908e-13  1.00028248121415220e+00  5.00909640315434376e-09
 2.57277469280348691e-08  1.20708085998692594e-01  1.21000268852300447e-01  1.00000000000000000e+00  3.43697351155792878e-13  1.00029218295206701e+00  5.37027111180926536e-09
 2.60306898126641223e-08  1.22038954969922092e-01  1.22341010236367148e-01  1.00000000000000000e+00  3.68081730826506218e-13  1.00030205537322181e+00  5.75127704416416086e-09
 2.63325704135705997e-08  1.23363153395396358e-01  1.23675252155855564e-01  1.00000000000000000e+00  3.93784580551523555e-13  1.00031209887610761e+00  6.15288407111755626e-09
 2.66334187219175636e-08  1.24680836651863955e-01  1.25003150395660512e-01  1.00000000000000000e+00  4.20856392902031804e-13  1.00032231386889880e+00  6.57588113909425042e-09
 2.69332636272415441e-08  1.25992154373321730e-01  1.26324855000886027e-01  1.00000000000000000e+00  4.49348881877361523e-13  1.00033270076273140e+00  7.02107627933377745e-09
 2.72321328645700011e-08  1.27297250266528800e-01  1.27640510088376374e-01  1.00000000000000000e+00  4.79314987961073276e-13  1.00034325996772067e+00  7.48929668689177508e-09
