time,state,candidate,next,inverse,geometry,residual,clock_a,clock_b
5.767601830090855002e-06,9.999999423239180896e-01,9.999999309887330767e-01,7.999999928259113879e-01,1.000000057676085019e+00,1.999999773295682903e+00,1.999999669943542946e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.867601830090854044e-06,9.999999413239172297e-01,9.999999297887324223e-01,7.999999927459116034e-01,1.000000058676085990e+00,1.999999769295679020e+00,1.999999663943538009e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.967601830090853087e-06,9.999999403239161477e-01,9.999999285887312128e-01,7.999999926659115967e-01,1.000000059676086961e+00,1.999999765295674914e+00,1.999999657943531961e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.067601830090852129e-06,9.999999393239149548e-01,9.999999273887302254e-01,7.999999925859114791e-01,1.000000060676089042e+00,1.999999761295671030e+00,1.999999651943527024e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.167601830090851172e-06,9.999999383239139839e-01,9.999999261887294599e-01,7.999999925059113615e-01,1.000000061676090013e+00,1.999999757295668035e+00,1.999999645943520976e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.267601830090850214e-06,9.999999373239125688e-01,9.999999249887284725e-01,7.999999924259111328e-01,1.000000062676090984e+00,1.999999753295663041e+00,1.999999639943516927e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.367601830090849257e-06,9.999999363239115979e-01,9.999999237887274850e-01,7.999999923459109041e-01,1.000000063676091955e+00,1.999999749295658935e+00,1.999999633943509991e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.467601830090848299e-06,9.999999353239101829e-01,9.999999225887264975e-01,7.999999922659105644e-01,1.000000064676094036e+00,1.999999745295653941e+00,1.999999627943503056e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.567601830090847342e-06,9.999999343239094340e-01,9.999999213887256211e-01,7.999999921859106689e-01,1.000000065676095007e+00,1.999999741295650058e+00,1.999999621943497896e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.667601830090846385e-06,9.999999333239081301e-01,9.999999201887247446e-01,7.999999921059103292e-01,1.000000066676095978e+00,1.999999737295645952e+00,1.999999615943490960e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.767601830090844580e-06,9.999999323239070481e-01,9.999999189887237572e-01,7.999999920259105446e-01,1.000000067676098059e+00,1.999999733295640958e+00,1.999999609943484913e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.867601830090843623e-06,9.999999313239062992e-01,9.999999177887229918e-01,7.999999919459108710e-01,1.000000068676099030e+00,1.999999729295637962e+00,1.999999603943477977e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.967601830090844359e-06,9.999999303239051063e-01,9.999999165887218933e-01,7.999999918659111975e-01,1.000000069676100001e+00,1.999999725295634079e+00,1.999999597943473040e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.067601830090843402e-06,9.999999293239039133e-01,9.999999153887209058e-01,7.999999917859109688e-01,1.000000070676100972e+00,1.999999721295629973e+00,1.999999591943468991e+00,0.000000000000000000e+00,0.000000000000000000e+00
