time,state,candidate,output,geometry,next,num,den,clock_a,clock_b,clip_ratio
4.868439786687259619e-07,1.152908945467280011e-01,1.152908906918579945e-01,2.311104665072219788e+00,2.080632548318550080e-03,1.126964871603770013e-01,1.951082628861839918e+00,9.967373586346890413e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
5.834395304210240041e-07,1.394397726219689937e-01,1.394397682011659922e-01,2.794034130640319802e+00,3.557191575376459931e-03,1.428519945317980044e-01,1.985716007383020010e+00,9.995686574894639964e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
6.688312459281680138e-07,1.607876927578099913e-01,1.607876878803249920e-01,3.220950016330410115e+00,5.306790724322570270e-03,1.695246364373849957e-01,1.995135697222019999e+00,1.000355827129790098e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
7.292046251131669768e-07,1.758810313625240040e-01,1.758810261849350076e-01,3.522786728380459920e+00,6.806145963934650406e-03,1.883862388701129931e-01,1.997699262681660093e+00,1.000586773738000090e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
7.911538596633779497e-07,1.913683336376509891e-01,1.913683281704240124e-01,3.832501929383409944e+00,8.575104454246850263e-03,2.077416706121510137e-01,1.998918193380510022e+00,1.000716951184140058e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
8.799641109832619769e-07,2.135708873311830125e-01,2.135708814788369880e-01,4.276508784936930319e+00,1.152315024566859941e-02,2.354908799840129963e-01,1.999638370710939972e+00,1.000836666591859991e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
9.473001346891999798e-07,2.304048863192250107e-01,2.304048801968890114e-01,4.613155238521759571e+00,1.408420757007219914e-02,2.565308651508390048e-01,1.999858948825000038e+00,1.000916009720330013e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.043877317109410037e-06,2.545491719572769984e-01,2.545491654781409929e-01,5.095992866390900211e+00,1.825002058256310067e-02,2.867079416781910250e-01,2.000017468572750090e+00,1.001043207336620000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.178587157006630075e-06,2.882266180015419788e-01,2.882266110789660218e-01,5.769474716959660299e+00,2.503250143329420127e-02,3.288004210960669971e-01,2.000165637603999791e+00,1.001274862076509953e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.369855935356050018e-06,3.360437927619719933e-01,3.360437853041409739e-01,6.725722982684629869e+00,3.660979592096130081e-02,3.885658780035979865e-01,2.000410179026669955e+00,1.001751380217630105e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.604888362637240046e-06,3.948018751540520177e-01,3.948018671645570077e-01,7.900767612907990234e+00,5.396633418293189655e-02,4.620061315068439978e-01,2.000851715306600109e+00,1.002633366179189967e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
