time,state,candidate,output,geometry,next,num,den,clock_a,clock_b,clip_ratio
4.402594578762799777e-08,4.731082604839069623e-03,4.731083035541890254e-03,8.481317448853309491e-04,8.481317448853309491e-04,1.026037406854229955e-04,2.201275276579049978e-01,2.201297289331810014e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.641530331894860195e-01
5.044787386146090153e-08,6.198165456644410057e-03,6.198165948603000242e-03,1.219050851771289953e-03,1.219050851771289953e-03,1.413904600104680040e-04,2.522368469323439943e-01,2.522393693008129767e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.026842163188119827e-01
5.645779313248669826e-08,7.694818304708020071e-03,7.694818853636930210e-03,1.648311409698290011e-03,1.648311409698290011e-03,1.946544288121269982e-04,2.822861427928919920e-01,2.822889656543199899e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.387433713514709788e-01
6.366802967726149578e-08,9.497347858520960653e-03,9.497348475347840158e-03,2.265094946499960054e-03,2.265094946499960054e-03,2.885583276247209836e-04,3.183369650063609946e-01,3.183401483760109896e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.820043580076329937e-01
7.024653643076390387e-08,1.114197364370930060e-02,1.114197432205910054e-02,2.917228928536910130e-03,2.917228928536910130e-03,4.115642405799950043e-04,3.512291698496050052e-01,3.512326821413039868e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.214750038195260173e-01
7.559287042230739919e-08,1.247855650146420005e-02,1.247855722951599945e-02,3.505235280398589972e-03,3.505235280398589972e-03,5.440516376423830533e-04,3.779605724913340237e-01,3.779643520970579762e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.535526869895999957e-01
7.930096295018059383e-08,1.340557918978509989e-02,1.340557995215310022e-02,3.941686798387049849e-03,3.941686798387049849e-03,6.558734469264079509e-04,3.965008497264819742e-01,3.965048147349790053e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.758010196717790130e-01
8.331509807264210148e-08,1.440911249020910070e-02,1.440911328958219967e-02,4.439171455428420239e-03,4.439171455428420239e-03,7.946698309707490426e-04,4.165713246323979879e-01,4.165754903456450053e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01
9.037498578997450386e-08,1.617408357517989906e-02,1.617408443927630113e-02,5.373399010890829962e-03,5.373399010890829962e-03,1.074251516002659897e-03,4.518704102251209775e-01,4.518749289292239846e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01
9.999999999999999547e-08,1.858033597689760091e-02,1.858033692849980073e-02,6.758836807080600105e-03,6.758836807080600105e-03,1.530597123139579990e-03,4.999950000247460058e-01,4.999999999747459789e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01
1.030324167258070007e-07,1.933843979587280063e-02,1.933844077486979868e-02,7.220012678428379925e-03,7.220012678428379925e-03,1.692856793991659925e-03,5.151569320329130175e-01,5.151620836022340333e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01
1.170671827588219936e-07,2.284712962702880115e-02,2.284713073173829864e-02,9.491490606383679376e-03,9.491490606383679376e-03,2.561752661991940037e-03,5.853300604589449785e-01,5.853359137595499639e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01
1.360031442982540086e-07,2.758111775048789974e-02,2.758111902203479876e-02,1.286520149074310039e-02,1.286520149074310039e-02,4.044008768702780227e-03,6.800089213554709744e-01,6.800157214446840293e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01
1.631385636447080028e-07,3.436496934918689683e-02,3.436497085436430315e-02,1.818305291539689880e-02,1.818305291539689880e-02,6.774795573319329633e-03,8.156846613099809629e-01,8.156928181565940017e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01
2.011256404407779876e-07,4.386173402060449672e-02,4.386173584235889683e-02,2.630631101207839967e-02,2.630631101207839967e-02,1.170029096820910004e-02,1.005618145920790019e+00,1.005628202102250013e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01
2.456138764902759760e-07,5.498378773792939739e-02,5.498378991544779909e-02,3.646440973250959783e-02,3.646440973250959783e-02,1.885120844618680055e-02,1.228057101728929901e+00,1.228069382299949996e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000479990044e-01
2.887547744636029907e-07,6.576900710389479987e-02,6.576900961158989312e-02,4.671019195255939754e-02,4.671019195255939754e-02,2.690044777172009849e-02,1.443759434514499951e+00,1.443773872108840006e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.799952000480000036e-01
3.266252884476019753e-07,7.523663110461799308e-02,7.523663389062819340e-02,5.589344195949950272e-02,5.589344195949950272e-02,3.464839991407309833e-02,1.633110110869369969e+00,1.631451617615049976e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.804879560959570139e-01
3.731411848637140154e-07,8.686559969413409910e-02,8.686560280786749522e-02,6.731523430093740157e-02,6.731523430093740157e-02,4.523275610177709960e-02,1.865687267096880042e+00,1.794580836204819896e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.990189743140069911e-01
4.357163155866080221e-07,1.025093749680579952e-01,1.025093784992790052e-01,8.281566554298870619e-02,8.281566554298870619e-02,6.277968273685249900e-02,2.178559791859409955e+00,1.906899278242139895e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.483817168657679764e-01
